     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3928500 2446500  1  2 24   1.1  977 265  3.4 3  3.6  83    0    0 242 -314  2
3928500 2446500  1  3  1   1.7  978 262  2.8 6  3.6  82    0    0 251 -314  2
3928500 2446500  1  3  2   2.0  978 254  3.7 8  3.7  81    0    0 276 -314  2
3928500 2446500  1  3  3   1.7  978 265  3.8 7  3.8  85    0    0 283 -316  2
3928500 2446500  1  3  4   2.1  979 264  3.1 7  3.8  85    0    0 280 -317  2
3928500 2446500  1  3  5   1.9  979 263  3.4 7  3.7  83    0    0 283 -318  2
3928500 2446500  1  3  6   1.7  979 268  3.1 6  3.7  82    0    0 279 -318  2
3928500 2446500  1  3  7   1.7  979 264  3.1 7  3.6  82    0    0 279 -319  2
3928500 2446500  1  3  8   2.0  980 261  3.7 7  3.6  81    0    0 287 -319  2
3928500 2446500  1  3  9   2.2  980 265  4.3 7  3.6  80    0    8 288 -320  2
3928500 2446500  1  3 10   2.2  981 266  3.4 6  3.7  80    3   35 285 -320  2
3928500 2446500  1  3 11   2.7  982 262  4.1 7  3.7  79    0   52 286 -321  2
3928500 2446500  1  3 12   3.5  982 260  4.3 6  3.7  75   35   78 289 -323  2
3928500 2446500  1  3 13   3.8  982 251  4.5 7  3.7  72   17   91 291 -325  2
3928500 2446500  1  3 14   4.0  982 251  4.2 7  3.6  70   17   80 298 -326  2
3928500 2446500  1  3 15   4.0  982 254  4.9 7  3.5  68    3   60 298 -327  2
3928500 2446500  1  3 16   3.8  982 241  3.7 7  3.5  68    0   26 297 -328  2
3928500 2446500  1  3 17   3.7  982 236  3.6 7  3.6  70    0    2 299 -328  2
3928500 2446500  1  3 18   3.6  982 236  4.1 7  3.7  72    0    0 300 -327  2
3928500 2446500  1  3 19   3.3  982 244  3.4 8  3.7  75    0    0 307 -327  2
3928500 2446500  1  3 20   3.1  982 232  3.3 8  3.8  77    0    0 314 -327  2
3928500 2446500  1  3 21   3.2  982 233  3.6 7  3.8  78    0    0 309 -328  2
3928500 2446500  1  3 22   2.9  982 235  3.6 8  3.8  79    0    0 309 -328  2
3928500 2446500  1  3 23   3.2  983 229  4.1 8  3.9  80    0    0 315 -328  2
3928500 2446500  1  3 24   3.5  982 237  4.8 7  4.0  80    0    0 309 -328  2
3928500 2446500  1  4  1   3.3  982 228  4.4 8  4.0  80    0    0 308 -328  2
3928500 2446500  1  4  2   3.3  982 217  4.1 8  4.0  82    0    0 313 -327  2
3928500 2446500  1  4  3   3.1  982 223  3.6 6  4.0  82    0    0 300 -327  2
3928500 2446500  1  4  4   3.5  982 215  4.6 6  4.0  81    0    0 289 -327  2
3928500 2446500  1  4  5   3.5  981 211  4.2 7  4.0  80    0    0 293 -326  2
3928500 2446500  1  4  6   3.7  981 226  4.2 8  4.0  80    0    0 303 -325  2
3928500 2446500  1  4  7   3.9  980 225  4.4 7  4.0  78    0    0 304 -324  2
3928500 2446500  1  4  8   3.8  980 210  4.6 7  4.0  76    0    0 298 -325  2
3928500 2446500  1  4  9   3.9  980 218  4.0 8  3.9  76    0    9 301 -326  2
3928500 2446500  1  4 10   4.3  980 193  4.6 6  3.9  75   26   61 294 -326  2
3928500 2446500  1  4 11   5.5  980 207  4.8 2  3.9  70  113  103 267 -327  2
3928500 2446500  1  4 12   6.2  979 223  5.2 1  3.9  66  163  126 247 -330  2
