MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   3.8 1016 236  5.9 7  4.6  93    0    0 302 -318  1
 1  1  2   3.0 1016 240  6.2 7  4.5  95    0    0 302 -319  1
 1  1  3   2.6 1015 246  6.5 7  4.4  96    0    0 302 -320  1
 1  1  4   2.8 1014 250  6.6 7  4.5  97    0    0 300 -320  1
 1  1  5   3.1 1013 253  6.6 8  4.5  97    0    0 304 -320  1
 1  1  6   3.2 1013 258  6.7 8  4.6  97    0    0 308 -320  1
 1  1  7   3.6 1012 261  6.5 7  4.7  96    0    0 305 -320  1
 1  1  8   3.2 1012 274  5.6 7  4.5  92    0    0 301 -320  1
 1  1  9   2.9 1012 280  4.9 5  4.2  88    0    1 291 -320  1
 1  1 10   3.2 1013 289  5.3 4  4.1  86    3   31 276 -319  1
 1  1 11   3.6 1013 287  5.4 4  4.1  84   38   57 271 -319  1
 1  1 12   3.7 1013 284  5.9 4  4.1  82   12   82 271 -319  1
 1  1 13   3.8 1014 288  5.6 7  4.1  82    1   78 286 -317  1
 1  1 14   3.8 1014 282  6.0 6  4.0  81   20   81 296 -314  1
 1  1 15   3.5 1013 290  5.7 5  4.0  81    3   50 284 -312  1
 1  1 16   3.4 1014 284  5.8 6  3.9  80    0    8 283 -310  1
 1  1 17   3.1 1014 284  5.0 7  3.9  81    0    0 296 -308  1
 1  1 18   2.5 1014 288  4.6 5  3.8  82    0    0 289 -306  1
 1  1 19   2.0 1015 290  4.5 5  3.7  83    0    0 275 -305  1
 1  1 20   1.9 1015 280  4.3 4  3.6  83    0    0 267 -305  1
 1  1 21   1.4 1015 275  4.0 1  3.5  83    0    0 240 -305  1
 1  1 22   1.5 1016 270  4.0 4  3.6  85    0    0 240 -305  1
 1  1 23   2.0 1016 271  4.3 5  3.7  86    0    0 265 -305  1
 1  1 24   1.9 1016 275  4.8 6  3.8  88    0    0 276 -306  1
 1  2  1   1.5 1016 267  4.5 6  3.8  90    0    0 279 -307  1
 1  2  2   0.5 1016 267  3.8 5  3.7  92    0    0 269 -307  1
 1  2  3   0.8 1016 270  3.1 6  3.7  93    0    0 267 -307  1
 1  2  4   1.4 1016 272  3.4 6  3.7  90    0    0 272 -307  1
 1  2  5   1.3 1016 278  3.8 6  3.6  88    0    0 271 -307  1
