MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   0.2 1009 274  6.5 7  3.5  90    0    0 294 -299  1
 1  1  2   0.4 1009 256  8.0 7  3.5  89    0    0 294 -298  1
 1  1  3   0.5 1009 240  9.1 8  3.5  88    0    0 293 -296  1
 1  1  4   0.6 1008 239  9.3 8  3.5  87    0    0 292 -293  1
 1  1  5   0.6 1007 238  9.6 8  3.4  87    0    0 286 -292  1
 1  1  6   0.7 1006 245  9.3 8  3.4  85    0    0 285 -294  1
 1  1  7   0.4 1006 239 10.1 8  3.4  86    0    0 290 -296  1
 1  1  8   0.8 1005 234 10.6 7  3.6  89    0    0 289 -299  1
 1  1  9   1.2 1004 235 10.2 7  3.6  89   10    3 286 -301  1
 1  1 10   1.6 1004 237  9.5 7  3.7  86   15   25 288 -303  1
 1  1 11   1.6 1003 250  9.5 8  3.8  88    0   36 295 -307  1
 1  1 12   2.0 1003 256  8.6 7  3.9  89    0   59 296 -310  1
 1  1 13   2.7 1003 252  8.7 6  3.9  87    0   68 286 -312  1
 1  1 14   2.8 1003 247  9.0 6  4.0  85    0   58 281 -314  1
 1  1 15   2.7 1003 281  7.4 6  3.8  82    0   44 281 -316  1
 1  1 16   2.6 1003 276  6.6 6  3.7  80    0    3 280 -317  1
 1  1 17   2.2 1004 270  7.9 6  3.7  80    0    0 279 -317  1
 1  1 18   2.0 1004 274  7.6 6  3.7  83    0    0 280 -314  1
 1  1 19   1.9 1005 273  7.3 7  3.6  83    0    0 286 -312  1
 1  1 20   1.9 1005 266  8.3 7  3.6  81    0    0 291 -309  1
 1  1 21   2.1 1005 273  6.5 8  3.5  79    0    0 296 -307  1
 1  1 22   1.7 1005 279  6.6 8  3.5  80    0    0 302 -304  1
 1  1 23   1.8 1005 270  6.8 8  3.5  80    0    0 301 -300  1
 1  1 24   1.7 1005 271  6.8 8  3.4  79    0    0 299 -298  1
 1  2  1   1.5 1005 281  6.1 8  3.4  79    0    0 295 -296  1
 1  2  2   1.3 1005 289  5.8 8  3.4  80    0    0 293 -295  1
 1  2  3   1.2 1005 282  5.8 7  3.3  79    0    0 285 -294  1
 1  2  4   0.9 1005 272  5.9 6  3.3  80    0    0 273 -293  1
 1  2  5   0.6 1005 261  6.4 7  3.4  85    0    0 271 -292  1
 1  2  6   0.6 1006 269  5.6 7  3.5  89    0    0 275 -292  1
 1  2  7   0.5 1006 267  5.5 7  3.6  90    0    0 274 -292  1
 1  2  8   0.6 1006 269  5.7 7  3.6  90    0    0 273 -291  1
 1  2  9   0.7 1006 277  5.3 8  3.6  89    0   10 278 -292  1
 1  2 10   0.9 1006 263  5.6 7  3.5  88    7   48 278 -293  1
 1  2 11   1.2 1007 261  6.2 7  3.5  86    1   61 273 -296  1
 1  2 12   1.4 1007 284  5.8 7  3.5  84    0   77 273 -301  1
 1  2 13   1.5 1007 283  6.8 6  3.4  81    0   73 269 -305  1
 1  2 14   1.4 1007 293  6.7 7  3.4  79    0   51 270 -307  1
 1  2 15   1.4 1007 291  6.5 7  3.3  78    0   33 276 -308  1
 1  2 16   0.9 1008 307  6.1 7  3.3  79    0    7 276 -308  1
 1  2 17   0.3 1008 267  3.6 7  3.2  82    0    0 275 -306  1
 1  2 18   0.0 1008 266  4.0 7  3.2  83    0    0 274 -304  1
 1  2 19   0.2 1009 252  4.6 7  3.2  84    0    0 273 -301  1
 1  2 20   0.6 1009 275  4.3 7  3.3  83    0    0 274 -302  1
 1  2 21   0.2 1009 273  4.3 7  3.3  84    0    0 273 -304  1
 1  2 22   0.1 1009 269  4.3 7  3.3  87    0    0 272 -305  1
 1  2 23  -0.1 1009 291  4.4 7  3.4  88    0    0 271 -306  1
 1  2 24  -0.2 1009 277  4.0 6  3.4  90    0    0 266 -306  1
 1  3  1  -0.6 1010 276  4.0 7  3.4  92    0    0 266 -305  1
 1  3  2  -0.2 1010 279  4.2 7  3.4  93    0    0 269 -304  1
 1  3  3  -0.3 1010 274  4.2 7  3.4  92    0    0 269 -301  1
 1  3  4  -0.3 1010 283  3.8 8  3.4  92    0    0 273 -299  1
 1  3  5  -0.3 1010 269  4.3 8  3.4  91    0    0 277 -297  1
 1  3  6  -0.4 1010 268  4.5 8  3.3  90    0    0 275 -294  1
 1  3  7  -0.5 1010 269  4.5 7  3.3  89    0    0 270 -291  1
 1  3  8  -0.4 1010 260  5.0 8  3.3  90    0    0 270 -288  1
 1  3  9  -0.2 1010 277  4.4 8  3.4  91    2    9 275 -286  1
 1  3 10  -0.1 1011 266  4.6 7  3.4  89    8   41 270 -285  1
 1  3 11   0.1 1011 266  4.6 7  3.3  86    0   50 263 -285  1
 1  3 12   0.3 1011 267  4.6 7  3.1  81    0   67 263 -287  1
 1  3 13  -0.3 1011 278  4.7 5  2.9  77   21  105 250 -290  1
 1  3 14  -0.2 1011 266  5.3 4  2.7  72   35   97 231 -293  1
 1  3 15   0.0 1011 272  5.3 2  2.6  69   47   69 216 -296  1
 1  3 16  -1.5 1011 272  4.7 4  2.5  70    5   27 218 -298  1
 1  3 17  -2.5 1012 259  3.6 3  2.5  76    0    0 223 -300  1
 1  3 18  -2.9 1012 258  3.9 2  2.5  81    0    0 216 -302  1
 1  3 19  -4.0 1012 255  3.8 4  2.5  85    0    0 222 -301  1
 1  3 20  -4.0 1012 251  4.1 4  2.5  88    0    0 232 -300  1
 1  3 21  -4.1 1012 245  3.7 4  2.6  91    0    0 237 -299  1
 1  3 22  -4.3 1012 242  4.2 4  2.6  93    0    0 240 -298  1
 1  3 23  -5.3 1012 196  3.8 5  2.5  93    0    0 243 -297  1
 1  3 24  -4.6 1012 227  4.6 6  2.5  93    0    0 250 -297  1
 1  4  1  -3.5 1011 217  4.4 7  2.6  93    0    0 259 -296  1
 1  4  2  -2.8 1011 233  4.5 7  2.8  92    0    0 266 -296  1
 1  4  3  -2.8 1011 220  4.4 7  2.8  91    0    0 267 -296  1
 1  4  4  -2.6 1011 198  4.4 8  2.8  91    0    0 271 -296  1
 1  4  5  -2.6 1010 189  4.5 8  2.9  91    0    0 273 -298  1
 1  4  6  -2.4 1010 206  4.6 8  2.9  91    0    0 273 -298  1
 1  4  7  -2.2 1010 206  4.6 7  2.9  89    0    0 271 -299  1
 1  4  8  -1.9 1010 221  4.6 8  2.9  88    0    0 272 -300  1
 1  4  9  -2.1 1010 227  5.0 8  2.9  88    6   14 273 -301  1
 1  4 10  -2.1 1010 197  4.4 7  2.8  87   61   67 269 -302  1
 1  4 11  -1.5 1010 211  4.9 7  2.8  84   19   92 267 -303  1
 1  4 12  -1.0 1010 227  4.9 7  2.7  79    5   98 267 -305  1
 1  4 13  -0.8 1010 219  5.5 6  2.7  75    5  101 266 -307  1
 1  4 14  -0.9 1010 209  4.7 6  2.6  73    7   96 265 -307  1
 1  4 15  -0.9 1009 207  5.2 5  2.6  73    8   72 263 -305  1
 1  4 16  -1.3 1009 209  4.8 7  2.6  73    0   17 264 -302  1
 1  4 17  -2.2 1009 188  4.2 6  2.5  75    0    0 262 -298  1
 1  4 18  -3.2 1009 189  4.7 5  2.4  78    0    0 254 -296  1
 1  4 19  -4.7 1009 174  4.1 4  2.4  83    0    0 244 -295  1
 1  4 20  -5.7 1009 177  4.5 3  2.3  88    0    0 233 -293  1
 1  4 21  -6.6 1009 167  3.9 2  2.2  90    0    0 221 -291  1
 1  4 22  -7.1 1009 169  4.6 2  2.1  90    0    0 212 -289  1
 1  4 23  -7.6 1009 190  3.9 3  2.0  91    0    0 210 -288  1
 1  4 24  -8.0 1008 163  4.6 3  1.9  90    0    0 210 -286  1
 1  5  1  -8.6 1008 154  3.8 2  1.8  88    0    0 203 -283  1
 1  5  2  -9.2 1008 153  3.8 2  1.7  89    0    0 197 -280  1
 1  5  3  -9.5 1008 158  3.8 2  1.7  89    0    0 193 -279  1
 1  5  4 -10.0 1008 165  4.4 2  1.6  90    0    0 191 -278  1
 1  5  5  -9.9 1007 160  3.9 2  1.6  91    0    0 191 -277  1
 1  5  6  -8.7 1007 160  3.7 4  1.7  89    0    0 198 -276  1
 1  5  7  -8.2 1007 143  4.0 7  1.7  86    0    0 217 -275  1
 1  5  8  -8.3 1007 163  4.2 7  1.7  85    0    0 226 -274  1
 1  5  9  -7.3 1007 160  3.9 8  1.8  84    5    9 229 -273  1
 1  5 10  -6.3 1008 169  5.2 7  1.9  81   61   34 230 -273  1
 1  5 11  -4.9 1008 162  5.0 4  1.9  75  107   59 220 -275  1
 1  5 12  -3.9 1007 165  4.7 2  1.9  70   97   89 207 -278  1
 1  5 13  -3.3 1007 166  5.8 2  1.9  66   91  100 201 -280  1
 1  5 14  -3.3 1006 170  5.9 2  1.9  63   76   92 202 -281  1
 1  5 15  -3.7 1006 163  5.5 4  1.8  63   37   70 208 -280  1
 1  5 16  -4.5 1005 165  5.4 4  1.8  64    4   26 214 -278  1
 1  5 17  -6.0 1005 148  4.9 3  1.8  69    0    0 208 -275  1
 1  5 18  -6.7 1005 154  5.3 2  1.7  73    0    0 200 -273  1
 1  5 19  -7.5 1004 161  5.0 2  1.7  76    0    0 196 -272  1
