MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -0.1  990 190  4.2 3  3.2  80    0    0 218 -284  1
 1  1  2  -2.5  990 180  4.0 2  2.8  85    0    0 215 -284  1
 1  1  3  -4.3  990 175  4.2 2  2.5  88    0    0 206 -283  1
 1  1  4  -4.5  990 173  4.8 2  2.5  88    0    0 198 -282  1
 1  1  5  -4.3  988 173  5.3 2  2.4  87    0    0 207 -282  1
 1  1  6  -4.8  987 174  5.7 3  2.4  86    0    0 216 -283  1
 1  1  7  -3.2  987 172  6.2 0  2.3  80    0    0 198 -283  1
 1  1  8  -3.9  986 184  6.4 5  2.3  78    0    0 212 -284  1
 1  1  9  -2.9  985 193  5.8 5  2.4  79    1    7 242 -285  1
 1  1 10  -2.3  985 183  6.5 5  2.4  74   45   27 245 -287  1
 1  1 11  -1.3  984 191  7.5 5  2.4  70  127   26 248 -291  1
 1  1 12   0.1  983 191  8.0 6  2.3  63   44   89 255 -298  1
 1  1 13   0.6  982 164  5.0 7  2.3  57   15   94 267 -304  1
 1  1 14   1.1  981 181  4.9 8  2.3  56    3   73 282 -309  1
 1  1 15   1.2  980 183  7.7 8  2.3  55    0   46 292 -311  1
 1  1 16   1.0  979 185  7.8 8  2.4  56   16   25 295 -312  1
 1  1 17   1.5  979 195  8.0 8  2.4  56    0    0 298 -313  1
 1  1 18   1.3  979 193  7.5 7  2.5  58    0    0 289 -314  1
 1  1 19   1.6  978 197  8.0 8  2.7  62    0    0 289 -314  1
 1  1 20   1.3  978 205  8.2 8  3.0  68    0    0 307 -315  1
 1  1 21   1.2  978 189  7.0 8  3.3  76    0    0 308 -318  1
 1  1 22   1.8  978 189  6.0 8  3.4  78    0    0 309 -319  1
 1  1 23   1.9  978 201  5.6 8  3.4  76    0    0 312 -322  1
 1  1 24   2.4  978 215  5.7 8  3.4  75    0    0 314 -325  1
 1  2  1   2.7  978 196  7.0 8  3.4  72    0    0 316 -326  1
 1  2  2   2.2  977 187  8.3 8  3.3  70    0    0 316 -327  1
 1  2  3   1.8  977 196  5.3 7  3.2  71    0    0 306 -330  1
 1  2  4   2.8  977 209  6.1 7  3.3  71    0    0 301 -331  1
 1  2  5   2.6  977 186  4.2 8  3.4  71    0    0 311 -331  1
 1  2  6   3.1  976 196  5.0 7  3.4  70    0    0 310 -332  1
 1  2  7   2.3  976 196  6.5 7  3.4  70    0    0 302 -334  1
 1  2  8   2.6  976 186  5.2 7  3.4  73    0    0 300 -334  1
 1  2  9   3.2  975 186  6.0 7  3.6  74    0    5 303 -335  1
 1  2 10   2.7  975 214  3.7 7  3.7  75   12   32 302 -337  1
 1  2 11   2.8  976 181  6.6 6  3.7  76    2   53 293 -341  1
 1  2 12   3.6  976 193  5.8 7  3.9  79    0   52 292 -344  1
 1  2 13   4.2  976 183  5.8 7  4.2  80    0   69 302 -345  1
 1  2 14   6.3  975 210  5.8 6  4.7  81   12   75 296 -345  1
 1  2 15   6.7  975 202  5.5 7  5.1  82    7   55 301 -345  1
