MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   3.1 1014 223  4.6 7  4.6  96    0    0 284 -301  1
 1  1  2   2.1 1014 224  4.6 6  4.3  97    0    0 285 -300  1
 1  1  3   1.4 1013 224  4.5 7  4.1  97    0    0 288 -300  1
 1  1  4   1.6 1013 226  4.6 7  4.1  97    0    0 290 -302  1
 1  1  5   1.8 1012 226  4.5 7  4.2  97    0    0 291 -304  1
 1  1  6   1.8 1011 235  5.0 7  4.2  97    0    0 290 -306  1
 1  1  7   2.2 1011 229  4.1 8  4.3  98    0    0 295 -310  1
 1  1  8   2.3 1010 247  4.7 8  4.4  98    0    0 301 -314  1
 1  1  9   2.4 1010 236  4.6 8  4.4  99    0    0 304 -318  1
 1  1 10   2.5 1010 248  4.4 7  4.5  99    0   14 300 -319  1
 1  1 11   2.6 1010 275  3.7 8  4.5  98    0   26 301 -320  1
 1  1 12   2.3 1010 267  4.8 7  4.4  98    0   50 302 -321  1
 1  1 13   2.9 1010 270  4.1 5  4.4  96   14   83 285 -322  1
 1  1 14   3.1 1010 269  4.5 4  4.4  92   36   71 268 -322  1
 1  1 15   3.1 1010 277  4.3 6  4.3  91    5   53 272 -322  1
 1  1 16   2.8 1010 273  4.1 6  4.3  91    0   16 284 -321  1
 1  1 17   2.3 1011 280  3.9 6  4.2  91    0    0 283 -316  1
 1  1 18   2.0 1011 274  4.5 5  4.0  91    0    0 277 -311  1
 1  1 19   1.9 1011 265  3.8 4  4.0  91    0    0 264 -308  1
 1  1 20   1.6 1011 278  4.0 4  3.9  91    0    0 257 -305  1
 1  1 21   1.4 1012 277  3.9 5  3.9  92    0    0 261 -304  1
 1  1 22   1.2 1012 267  3.8 5  3.9  92    0    0 266 -302  1
 1  1 23   0.9 1012 273  4.3 5  3.8  93    0    0 265 -300  1
 1  1 24   0.6 1012 274  4.8 5  3.7  93    0    0 263 -299  1
 1  2  1   0.4 1012 273  4.6 7  3.7  94    0    0 273 -299  1
 1  2  2   0.5 1012 293  4.6 7  3.7  93    0    0 282 -299  1
 1  2  3   0.5 1012 298  5.3 8  3.6  93    0    0 286 -300  1
 1  2  4   0.6 1012 298  5.0 7  3.7  93    0    0 284 -301  1
 1  2  5   0.5 1012 317  3.9 7  3.7  94    0    0 277 -301  1
 1  2  6   0.6 1012 301  4.7 6  3.7  94    0    0 270 -303  1
 1  2  7   0.6 1012 308  4.2 6  3.7  94    0    0 264 -305  1
 1  2  8   0.4 1013 298  4.1 7  3.7  94    0    0 268 -305  1
 1  2  9   0.2 1013 303  3.8 6  3.7  94    0    2 266 -306  1
 1  2 10   0.5 1013 299  4.5 7  3.7  94    8   27 264 -306  1
 1  2 11   0.6 1014 295  4.0 6  3.7  94   11   54 265 -307  1
 1  2 12   1.1 1014 287  4.4 6  3.7  92   14   77 261 -311  1
 1  2 13   1.5 1014 276  4.4 5  3.7  88    5   78 258 -315  1
 1  2 14   1.9 1014 282  4.5 5  3.7  86   26   72 255 -316  1
 1  2 15   1.4 1014 283  3.8 5  3.7  86   23   50 256 -316  1
 1  2 16   1.4 1014 255  3.6 7  3.7  88    0   21 266 -318  1
 1  2 17   1.3 1014 246  3.2 8  3.7  89    0    0 281 -318  1
 1  2 18   1.0 1014 270  4.5 8  3.7  91    0    0 285 -314  1
 1  2 19   0.9 1014 279  4.5 6  3.8  93    0    0 274 -311  1
 1  2 20   0.7 1014 284  4.6 6  3.8  94    0    0 264 -309  1
 1  2 21   0.5 1015 280  5.1 7  3.8  95    0    0 267 -306  1
 1  2 22   0.4 1015 285  5.4 7  3.8  97    0    0 270 -305  1
 1  2 23   0.3 1015 286  4.9 7  3.8  97    0    0 269 -305  1
 1  2 24   0.3 1015 284  4.9 7  3.7  97    0    0 268 -304  1
 1  3  1   0.4 1015 298  4.5 8  3.8  98    0    0 273 -303  1
 1  3  2   0.3 1015 302  4.5 7  3.8  98    0    0 272 -302  1
 1  3  3   0.3 1015 305  4.9 7  3.8  97    0    0 266 -301  1
 1  3  4  -0.2 1015 296  3.7 8  3.7  97    0    0 270 -301  1
 1  3  5  -0.1 1015 296  3.7 8  3.7  98    0    0 272 -301  1
 1  3  6  -0.3 1015 303  4.2 8  3.6  98    0    0 270 -302  1
 1  3  7  -0.3 1015 294  3.2 8  3.6  98    0    0 269 -302  1
 1  3  8  -0.4 1015 287  3.0 8  3.6  98    0    0 268 -303  1
 1  3  9  -0.4 1015 280  2.7 7  3.6  98    0    2 263 -302  1
 1  3 10  -0.4 1016 273  2.8 8  3.6  98    0   28 262 -302  1
 1  3 11  -0.3 1016 262  2.8 8  3.6  98    0   33 266 -305  1
 1  3 12   0.1 1016 242  3.2 7  3.6  96    0   61 260 -309  1
 1  3 13   0.5 1016 238  3.3 7  3.6  94    0   63 255 -312  1
 1  3 14   0.6 1016 253  3.9 8  3.7  93    0   41 262 -313  1
 1  3 15   0.3 1016 258  3.4 8  3.6  93    0   20 266 -310  1
 1  3 16   0.2 1015 242  3.2 7  3.6  94    0    8 261 -306  1
 1  3 17   0.2 1016 250  3.2 7  3.6  94    0    0 258 -301  1
 1  3 18   0.1 1015 242  2.8 6  3.6  95    0    0 257 -297  1
 1  3 19  -0.1 1015 232  2.6 8  3.6  96    0    0 263 -296  1
 1  3 20   0.0 1015 229  2.8 8  3.6  96    0    0 274 -297  1
 1  3 21   0.3 1015 222  3.3 8  3.7  96    0    0 277 -298  1
 1  3 22   0.2 1014 216  3.4 8  3.7  96    0    0 279 -300  1
 1  3 23   0.3 1014 230  3.1 8  3.7  97    0    0 280 -302  1
 1  3 24   0.3 1014 228  3.2 8  3.7  96    0    0 280 -302  1
 1  4  1   0.2 1014 213  2.8 8  3.7  95    0    0 282 -303  1
 1  4  2   0.2 1014 188  2.4 7  3.7  96    0    0 281 -304  1
 1  4  3   0.2 1013 188  2.7 7  3.7  96    0    0 279 -304  1
 1  4  4   0.4 1013 196  2.6 7  3.7  95    0    0 280 -303  1
 1  4  5   0.2 1012 186  2.6 7  3.7  95    0    0 280 -302  1
 1  4  6   0.4 1012 205  3.2 7  3.7  95    0    0 279 -301  1
 1  4  7   0.5 1012 209  3.8 8  3.7  95    0    0 281 -299  1
 1  4  8   0.5 1011 218  3.4 8  3.8  95    0    0 283 -297  1
 1  4  9   0.6 1011 223  3.0 8  3.8  95    1    6 282 -296  1
 1  4 10   0.6 1011 211  3.1 8  3.8  95   55   17 280 -295  1
 1  4 11   0.7 1011 199  3.6 6  3.7  93   21   64 274 -295  1
 1  4 12   1.0 1011 201  3.8 5  3.6  89   65   78 267 -297  1
 1  4 13   1.2 1011 211  3.7 4  3.5  84   64   86 263 -300  1
 1  4 14   1.3 1010 216  3.6 4  3.3  80   21   87 260 -300  1
 1  4 15   1.1 1010 205  4.1 3  3.3  79   26   62 258 -300  1
 1  4 16   0.2 1010 191  3.2 4  3.2  80   20   25 255 -299  1
 1  4 17  -0.9 1010 191  3.6 3  3.1  83    0    0 250 -297  1
 1  4 18  -1.5 1010 186  4.0 3  3.0  87    0    0 244 -294  1
 1  4 19  -2.1 1010 194  4.3 2  2.9  88    0    0 237 -292  1
 1  4 20  -1.9 1009 204  4.6 2  2.9  88    0    0 231 -291  1
 1  4 21  -2.1 1009 214  4.4 4  2.8  86    0    0 232 -291  1
 1  4 22  -2.8 1010 206  4.0 4  2.7  86    0    0 235 -289  1
 1  4 23  -3.0 1009 212  3.9 3  2.6  86    0    0 231 -288  1
 1  4 24  -3.2 1009 204  4.4 2  2.6  85    0    0 223 -286  1
 1  5  1  -3.0 1009 209  4.8 2  2.5  83    0    0 220 -284  1
 1  5  2  -3.2 1009 210  4.4 2  2.5  82    0    0 218 -283  1
 1  5  3  -3.5 1008 210  5.0 0  2.4  82    0    0 210 -282  1
 1  5  4  -3.5 1008 206  4.7 0  2.4  82    0    0 202 -280  1
 1  5  5  -3.8 1008 199  4.4 1  2.4  83    0    0 205 -279  1
 1  5  6  -4.2 1007 197  3.9 1  2.4  84    0    0 208 -278  1
 1  5  7  -4.5 1007 204  3.8 0  2.3  84    0    0 203 -278  1
 1  5  8  -4.8 1007 197  3.5 1  2.3  85    0    0 202 -277  1
 1  5  9  -4.5 1007 198  3.5 4  2.3  84    0    3 215 -277  1
