MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   1.0 1020 245  4.5 8  4.0  95    0    0 243 -266  0
 1  1  2  -0.8 1020 258  4.5 8  3.5  96    0    0 246 -265  0
 1  1  3  -2.0 1020 268  4.4 8  3.1  98    0    0 246 -263  0
 1  1  4  -1.4 1021 271  4.3 8  3.3  98    0    0 247 -261  0
 1  1  5  -0.9 1021 272  4.3 7  3.4  98    0    0 244 -258  0
 1  1  6  -0.4 1021 270  4.6 7  3.5  98    0    0 241 -258  0
 1  1  7  -0.2 1022 276  4.6 6  3.6  97    0    0 239 -258  0
 1  1  8  -1.2 1022 261  4.0 6  3.5  97    0    0 236 -260  0
 1  1  9  -1.3 1022 248  4.6 6  3.4  98    0    0 234 -262  0
 1  1 10  -0.7 1023 246  4.9 8  3.4  98    1   36 240 -266  0
 1  1 11  -0.1 1023 233  5.5 7  3.6  98    0   50 244 -273  0
 1  1 12   0.8 1023 238  6.1 7  3.8  98    0   42 248 -281  0
 1  1 13   1.7 1023 243  5.8 7  4.0  98    0   54 256 -288  0
 1  1 14   2.1 1022 252  6.2 8  4.2  98    0   34 264 -295  0
 1  1 15   2.5 1021 253  7.0 8  4.3  96    0   19 267 -299  0
 1  1 16   2.6 1021 259  7.7 8  4.3  95    0    8 266 -298  0
 1  1 17   2.6 1020 259  7.9 8  4.3  94    0    0 264 -296  0
 1  1 18   2.7 1020 258  8.0 8  4.3  95    0    0 263 -294  0
 1  1 19   2.7 1019 258  8.2 8  4.4  96    0    0 264 -294  0
 1  1 20   2.9 1018 259  8.7 8  4.4  96    0    0 264 -294  0
 1  1 21   2.9 1018 269  8.6 8  4.5  96    0    0 265 -295  0
 1  1 22   3.0 1017 262  9.0 8  4.5  97    0    0 268 -297  0
 1  1 23   3.2 1016 272 10.4 8  4.6  97    0    0 270 -300  0
 1  1 24   3.7 1016 272 10.4 8  4.7  97    0    0 273 -302  0
 1  2  1   3.7 1015 271 10.9 8  4.8  97    0    0 276 -302  0
 1  2  2   3.4 1014 281  9.6 8  4.7  97    0    0 278 -301  0
 1  2  3   3.7 1014 282 10.2 8  4.7  96    0    0 279 -301  0
 1  2  4   4.1 1015 293  9.3 8  4.9  98    0    0 282 -301  0
 1  2  5   4.1 1015 302  8.7 8  5.0  99    0    0 287 -300  0
 1  2  6   4.0 1016 311  6.0 8  5.0  98    0    0 290 -299  0
 1  2  7   3.3 1017 319  5.5 4  4.7  96    0    0 279 -300  0
 1  2  8   2.5 1017 327  4.6 2  4.2  90    0    0 254 -302  0
 1  2  9   2.0 1019 326  5.6 3  3.5  78    0    1 246 -303  0
 1  2 10   1.4 1020 347  6.1 4  3.0  72    9   38 252 -304  0
 1  2 11   0.9 1022 347  7.4 3  2.9  70   75   71 248 -307  0
