MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   1.6  993 225  2.6 8  3.9  89    0    0 284 -285  2
 1  1  2   0.2  993 218  2.3 8  3.5  91    0    0 284 -287  2
 1  1  3  -0.8  992 204  1.8 8  3.3  92    0    0 286 -291  2
 1  1  4  -0.5  992 196  2.0 8  3.3  90    0    0 282 -290  2
 1  1  5  -0.2  991 192  1.8 8  3.4  90    0    0 280 -284  2
 1  1  6   0.1  990 217  1.5 8  3.4  89    0    0 285 -279  2
 1  1  7   0.1  990 227  1.6 8  3.6  91    0    0 286 -287  2
 1  1  8   1.1  989 247  2.4 8  3.7  92    0    0 290 -298  2
 1  1  9   1.1  989 225  3.3 7  3.9  92    0    3 288 -301  2
 1  1 10   1.0  989 226  3.7 7  4.0  94    5   29 285 -302  2
 1  1 11   1.4  988 224  4.5 7  4.0  95    0   52 285 -305  2
 1  1 12   1.5  988 237  4.7 7  4.1  95    0   71 286 -308  2
 1  1 13   1.7  988 240  4.1 7  4.1  94    0   69 285 -311  2
 1  1 14   1.8  987 254  2.4 7  4.1  93    0   58 285 -313  2
 1  1 15   1.4  987 266  2.7 7  4.1  94    0   37 285 -315  2
 1  1 16   1.7  987 290  3.5 7  4.1  94    0   12 284 -316  2
 1  1 17   1.4  987 295  3.7 7  4.1  93    0    0 286 -318  2
 1  1 18   1.2  988 301  3.6 8  4.0  94    0    0 292 -316  2
 1  1 19   1.2  988 284  3.6 7  4.0  93    0    0 292 -313  2
 1  1 20   0.9  989 293  3.4 7  3.9  93    0    0 285 -311  2
 1  1 21   1.0  989 294  3.6 6  3.8  92    0    0 278 -312  2
 1  1 22   0.9  989 288  3.7 7  3.8  91    0    0 278 -312  2
 1  1 23   0.8  989 282  3.2 6  3.7  90    0    0 276 -307  2
 1  1 24   0.6  989 289  3.6 6  3.7  90    0    0 270 -305  2
 1  2  1   0.0  989 290  3.5 6  3.6  91    0    0 267 -302  2
 1  2  2  -0.1  989 280  4.8 6  3.6  92    0    0 265 -300  2
 1  2  3  -0.1  989 308  4.3 7  3.6  92    0    0 269 -298  2
 1  2  4  -0.2  989 283  4.6 7  3.5  92    0    0 273 -297  2
 1  2  5   0.1  989 295  5.9 8  3.5  91    0    0 278 -297  2
 1  2  6   0.0  989 293  5.9 8  3.5  91    0    0 281 -297  2
 1  2  7  -0.2  989 299  4.2 8  3.6  92    0    0 279 -300  2
 1  2  8  -0.2  989 294  4.6 8  3.6  93    0    0 278 -302  2
 1  2  9   0.0  990 300  4.7 7  3.6  93    0    7 274 -301  2
 1  2 10   0.1  990 302  3.6 7  3.6  91   42   19 268 -301  2
 1  2 11   0.4  991 306  3.9 6  3.5  88   28   63 263 -303  2
 1  2 12   0.7  991 301  3.7 5  3.4  85   54   79 254 -307  2
 1  2 13   0.9  991 290  3.6 6  3.4  83   14   95 255 -310  2
 1  2 14   0.6  991 287  3.2 7  3.4  83    0   58 265 -312  2
 1  2 15   0.5  991 291  3.2 7  3.5  86    0   29 272 -314  2
 1  2 16   0.4  991 300  3.1 6  3.5  88    0    9 268 -315  2
 1  2 17  -0.1  991 286  3.0 7  3.4  88    0    0 267 -315  2
 1  2 18  -0.4  991 291  3.3 7  3.4  89    0    0 270 -314  2
 1  2 19  -0.4  992 282  3.2 7  3.4  89    0    0 268 -313  2
 1  2 20  -0.3  992 297  2.5 7  3.4  91    0    0 269 -312  2
 1  2 21   0.0  992 314  2.4 7  3.5  92    0    0 268 -311  2
 1  2 22   0.0  992 284  3.2 7  3.5  91    0    0 268 -310  2
 1  2 23  -0.1  992 276  3.1 7  3.5  90    0    0 266 -309  2
 1  2 24  -0.3  992 290  2.0 7  3.5  92    0    0 266 -309  2
 1  3  1  -0.5  992 280  2.4 7  3.5  92    0    0 266 -308  2
 1  3  2  -0.3  992 268  2.6 7  3.4  92    0    0 264 -307  2
 1  3  3  -0.7  992 255  2.8 8  3.4  92    0    0 268 -306  2
 1  3  4  -0.4  992 265  3.2 8  3.4  92    0    0 272 -303  2
 1  3  5  -0.5  993 262  3.0 6  3.4  91    0    0 262 -301  2
 1  3  6  -0.7  993 269  1.7 6  3.4  91    0    0 252 -299  2
 1  3  7  -0.9  993 276  1.3 8  3.3  91    0    0 259 -300  2
 1  3  8  -1.1  993 286  2.2 8  3.3  93    0    0 268 -301  2
 1  3  9  -1.0  993 330  1.0 6  3.3  93    0    5 258 -300  2
 1  3 10  -1.0  993 303  1.4 6  3.3  93   46   22 248 -302  2
 1  3 11  -1.4  993 287  1.3 6  3.3  93   18   68 245 -304  2
 1  3 12  -0.5  994 293  1.6 7  3.2  90    3   84 249 -308  2
 1  3 13  -0.2  994 326  2.2 6  3.3  86    3   92 250 -311  2
 1  3 14   0.0  993 288  1.8 7  3.3  85    1   72 250 -311  2
 1  3 15  -0.1  993 276  1.7 7  3.2  84    0   49 255 -310  2
 1  3 16  -0.2  993 282  1.4 8  3.2  84    0   10 258 -308  2
 1  3 17  -0.8  993 244  1.3 8  3.2  87    0    0 262 -305  2
 1  3 18  -0.7  993 320  1.6 7  3.2  89    0    0 258 -300  2
 1  3 19  -1.0  993 249  1.1 7  3.3  90    0    0 256 -294  2
 1  3 20  -1.3  993 255  1.2 7  3.3  92    0    0 257 -289  2
 1  3 21  -1.2  993 257  1.9 7  3.2  92    0    0 259 -286  2
 1  3 22  -1.8  993 231  1.6 7  3.2  92    0    0 260 -288  2
 1  3 23  -1.9  993 250  1.9 7  3.2  94    0    0 260 -291  2
 1  3 24  -1.5  993 224  2.1 7  3.2  94    0    0 261 -293  2
 1  4  1  -2.0  992 205  2.0 8  3.2  93    0    0 264 -295  2
 1  4  2  -2.1  992 205  1.5 7  3.1  93    0    0 265 -295  2
 1  4  3  -1.9  992 200  1.3 7  3.1  92    0    0 263 -295  2
 1  4  4  -2.4  992 190  1.4 7  3.0  92    0    0 264 -295  2
 1  4  5  -2.0  991 219  1.7 8  3.0  91    0    0 265 -296  2
 1  4  6  -2.2  991 179  1.4 8  3.0  90    0    0 268 -296  2
 1  4  7  -2.5  991 192  1.4 7  3.0  91    0    0 264 -296  2
 1  4  8  -2.3  990 200  1.6 8  3.0  91    0    0 263 -295  2
 1  4  9  -2.4  990 204  2.2 7  3.0  92    1   11 263 -294  2
 1  4 10  -2.7  991 198  1.8 8  3.0  92   17   60 261 -295  2
 1  4 11  -2.2  991 202  2.3 7  2.9  91    2   72 260 -297  2
 1  4 12  -1.8  991 191  2.4 7  2.9  88    0   47 257 -298  2
 1  4 13  -1.7  990 191  2.5 8  2.9  86    0   40 257 -300  2
 1  4 14  -1.5  990 185  2.2 7  3.0  86    0   33 256 -300  2
 1  4 15  -1.1  989 185  2.3 8  3.0  84    0   27 255 -299  2
 1  4 16  -1.9  989 195  2.3 8  2.9  85    0    9 256 -298  2
 1  4 17  -2.8  989 175  2.0 7  2.9  88    0    0 253 -296  2
 1  4 18  -3.3  989 184  1.6 6  2.8  89    0    0 247 -293  2
 1  4 19  -3.9  989 188  1.6 6  2.7  89    0    0 243 -291  2
 1  4 20  -3.9  989 192  2.4 7  2.6  89    0    0 243 -290  2
 1  4 21  -3.8  989 191  3.0 6  2.6  88    0    0 241 -289  2
 1  4 22  -4.7  989 184  2.6 6  2.5  89    0    0 237 -288  2
 1  4 23  -3.9  989 173  1.9 7  2.5  88    0    0 238 -285  2
 1  4 24  -4.3  989 156  2.3 8  2.5  86    0    0 245 -282  2
 1  5  1  -4.3  989 186  2.5 7  2.4  87    0    0 244 -278  2
 1  5  2  -5.1  988 198  3.4 7  2.4  86    0    0 240 -276  2
 1  5  3  -4.7  988 186  2.7 8  2.3  86    0    0 242 -276  2
 1  5  4  -4.8  988 187  3.3 8  2.3  84    0    0 245 -274  2
 1  5  5  -5.6  987 199  3.3 8  2.3  86    0    0 244 -272  2
 1  5  6  -5.4  987 206  3.3 8  2.2  86    0    0 243 -271  2
 1  5  7  -5.8  987 193  3.5 8  2.2  86    0    0 243 -270  2
 1  5  8  -5.6  987 200  3.5 8  2.2  85    0    0 243 -269  2
 1  5  9  -5.7  987 190  3.7 8  2.1  84    0    0 242 -268  2
 1  5 10  -6.0  987 186  3.7 8  2.1  85    0   26 240 -268  2
 1  5 11  -6.0  987 192  4.3 7  2.1  85    0   51 237 -270  2
 1  5 12  -5.8  987 187  4.3 7  2.1  83    0   46 234 -272  2
 1  5 13  -6.0  986 188  4.0 7  2.1  83    0   69 235 -274  2
 1  5 14  -6.1  985 184  3.7 6  2.0  82    2   91 232 -276  2
 1  5 15  -5.8  985 189  3.2 4  2.0  80    3   74 224 -276  2
 1  5 16  -6.3  984 180  2.7 4  2.0  79    1   31 218 -275  2
 1  5 17  -7.2  984 174  2.7 3  1.9  82    0    0 215 -273  2
 1  5 18  -7.8  982 173  3.8 3  1.9  86    0    0 212 -271  2
 1  5 19  -8.0  981 183  4.8 3  1.9  88    0    0 213 -271  2
