MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   0.6  962 131  2.5 2  4.0  94    0    0 231 -317  3
 1  1  2  -0.2  962 137  2.6 2  3.7  93    0    0 225 -317  3
 1  1  3  -0.9  962 117  2.7 1  3.5  92    0    0 220 -316  3
 1  1  4  -1.3  962 122  2.6 2  3.4  93    0    0 228 -316  3
 1  1  5  -1.6  962 123  2.6 2  3.3  93    0    0 235 -316  3
 1  1  6  -2.6  962 127  2.2 4  3.3  96    0    0 243 -316  3
 1  1  7  -2.0  962 104  2.4 3  3.2  96    0    0 248 -316  3
 1  1  8  -2.4  962 110  1.2 4  3.2  95    0    0 248 -316  3
 1  1  9  -2.6  963 116  2.4 5  3.2  96   13    9 257 -316  3
 1  1 10  -2.3  963 131  1.7 4  3.2  97   55   48 256 -316  3
 1  1 11  -1.2  963 127  1.2 4  3.4  96   61   92 253 -318  3
 1  1 12  -1.7  963 137  1.6 5  3.5  96   49  122 257 -322  3
 1  1 13   0.0  962 126  2.5 6  3.5  94   36  130 267 -327  3
 1  1 14  -0.3  962 123  2.2 6  3.6  91   38  117 273 -329  3
 1  1 15   1.2  962 147  2.2 5  3.8  91   29   87 269 -330  3
 1  1 16  -0.1  961 128  2.7 5  3.9  93    7   40 264 -329  3
 1  1 17  -1.3  961 117  2.4 4  3.6  96    0    3 252 -324  3
 1  1 18  -1.7  960 166  1.8 4  3.5  96    0    0 239 -321  3
 1  1 19  -2.5  960 141  3.2 4  3.3  97    0    0 232 -320  3
 1  1 20  -2.2  960 142  3.3 6  3.3  97    0    0 238 -320  3
 1  1 21  -2.5  960 150  4.1 6  3.3  97    0    0 251 -320  3
 1  1 22  -2.3  959 153  4.0 6  3.3  97    0    0 252 -319  3
 1  1 23  -2.3  959 169  4.1 6  3.3  98    0    0 252 -319  3
 1  1 24  -1.6  958 152  3.0 5  3.3  96    0    0 243 -318  3
 1  2  1  -2.0  957 177  3.5 6  3.3  95    0    0 242 -318  3
 1  2  2  -2.5  956 161  3.0 6  3.3  97    0    0 249 -319  3
 1  2  3  -2.1  956 147  2.8 5  3.3  98    0    0 237 -319  3
 1  2  4  -1.9  956 159  3.6 4  3.3  96    0    0 209 -319  3
 1  2  5  -1.8  956 161  3.9 4  3.3  95    0    0 192 -319  3
 1  2  6  -1.9  955 148  5.3 8  3.4  96    0    0 243 -320  3
 1  2  7  -1.7  953 146  5.2 6  3.4  97    0    0 267 -323  3
 1  2  8  -1.8  952 152  4.5 7  3.5  97    0    0 254 -325  3
 1  2  9  -1.5  952 244  3.9 7  3.5  98    5   11 266 -330  3
 1  2 10  -1.0  953 150  3.0 8  3.6  97    0   47 280 -336  3
 1  2 11  -0.7  953 178  3.9 6  3.6  96    5   87 271 -343  3
 1  2 12  -0.7  952 179  4.4 4  3.7  97   33  132 226 -348  3
 1  2 13   0.0  951 301  3.6 6  3.9  98   21  136 233 -353  3
 1  2 14   0.5  950 344  6.1 6  4.0  97   37  129 262 -355  3
 1  2 15   1.5  950  85  3.8 6  4.1  94   45   96 266 -354  3
 1  2 16   1.0  950  58  4.2 7  4.2  94    6   44 277 -350  3
 1  2 17   0.3  949  50  3.4 6  4.1  96    0    5 279 -344  3
 1  2 18  -0.3  947 109  5.1 5  3.9  97    0    0 262 -340  3
 1  2 19   0.1  947 106  6.6 8  3.9  96    0    0 277 -338  3
 1  2 20   0.0  947 101  5.1 8  3.9  95    0    0 300 -339  3
 1  2 21   0.2  947 245  3.1 8  3.9  96    0    0 302 -339  3
 1  2 22   0.2  947 261  5.4 7  4.0  96    0    0 297 -338  3
