MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -5.0  947  84  3.1 5  2.7  94    0    0 219 -306  2
 1  1  2  -4.3  947 124  2.9 6  2.8  95    0    0 218 -307  2
 1  1  3  -3.7  947 181  2.6 7  3.0  96    0    0 233 -308  2
 1  1  4  -3.7  947 230  2.5 7  3.0  97    0    0 253 -309  2
 1  1  5  -3.8  946 268  2.1 8  3.0  98    0    0 259 -309  2
 1  1  6  -4.0  946 256  2.7 8  3.0  98    0    0 259 -310  2
 1  1  7  -3.9  946 306  1.2 7  3.0  98    0    0 253 -307  2
 1  1  8  -4.0  946 290  1.1 6  3.0  98    0    0 239 -304  2
 1  1  9  -2.7  947 311  1.1 6  3.0  93    0    8 234 -303  2
 1  1 10  -2.1  947  20  1.2 7  3.0  89    2   43 244 -304  2
 1  1 11  -3.1  947 295  1.9 8  3.1  92   18   92 254 -309  2
 1  1 12  -1.4  947  55  1.1 6  3.2  92   70  117 249 -313  2
 1  1 13  -1.6  947 143  2.7 7  3.2  89   59  124 246 -316  2
 1  1 14  -2.0  946 118  3.2 7  3.2  89   41  112 251 -318  2
 1  1 15  -1.8  946 122  2.4 7  3.1  88    5   68 251 -319  2
 1  1 16  -1.8  946  97  3.4 6  3.1  86    2   30 246 -318  2
 1  1 17  -3.6  946 118  3.6 7  3.0  90    0    3 245 -317  2
 1  1 18  -3.8  946 128  3.1 7  3.0  96    0    0 248 -315  2
 1  1 19  -2.9  947 146  3.8 6  2.9  92    0    0 244 -312  2
 1  1 20  -2.2  947 205  1.5 6  2.9  87    0    0 241 -312  2
 1  1 21  -3.0  947 154  1.4 7  2.9  88    0    0 246 -312  2
 1  1 22  -3.3  947 173  1.7 4  2.9  91    0    0 234 -309  2
 1  1 23  -3.4  947 133  1.4 4  2.9  93    0    0 219 -308  2
 1  1 24  -4.0  947 202  1.5 8  2.9  94    0    0 237 -307  2
 1  2  1  -4.2  946 206  0.1 8  2.9  97    0    0 255 -304  2
 1  2  2  -4.0  946 232  1.5 7  2.9  97    0    0 250 -301  2
 1  2  3  -4.6  946 170  1.2 3  2.9  97    0    0 228 -299  2
 1  2  4  -4.0  946 146  3.5 1  2.9  97    0    0 202 -298  2
 1  2  5  -4.6  946 161  1.5 1  2.8  96    0    0 194 -301  2
 1  2  6  -5.5  945 171  2.1 1  2.7  98    0    0 191 -303  2
 1  2  7  -5.4  945 176  1.8 5  2.7 100    0    0 208 -303  2
 1  2  8  -5.6  945 180  1.9 2  2.7 100    0    0 213 -302  2
 1  2  9  -5.5  945 191  1.3 2  2.7 100    6   12 199 -301  2
 1  2 10  -5.4  945 201  1.7 2  2.7 100   69   50 199 -301  2
 1  2 11  -4.6  945 295  1.7 1  2.8 100  127   80 196 -305  2
 1  2 12  -2.2  946  12  3.0 2  3.0  95  154  103 199 -310  2
 1  2 13  -1.4  945  27  2.8 3  3.2  89  161  108 212 -314  2
 1  2 14  -2.0  944 130  2.3 4  3.1  88  142   99 223 -316  2
 1  2 15  -2.7  943 205  2.3 6  3.1  90   44   87 238 -316  2
 1  2 16  -2.1  943 218  1.8 6  3.1  90    5   37 249 -316  2
 1  2 17  -4.1  942 232  2.3 6  3.0  91    0    4 248 -314  2
 1  2 18  -4.0  943 174  2.2 6  2.9  95    0    0 246 -312  2
 1  2 19  -4.3  943 183  2.1 4  2.8  94    0    0 236 -310  2
 1  2 20  -5.1  943 243  1.5 4  2.8  97    0    0 223 -308  2
 1  2 21  -4.9  943 179  1.9 5  2.8  98    0    0 226 -305  2
 1  2 22  -5.2  942 178  2.9 3  2.7  97    0    0 220 -304  2
 1  2 23  -5.6  942 218  2.3 3  2.7  99    0    0 206 -305  2
 1  2 24  -4.6  942 211  1.7 6  2.8  99    0    0 228 -307  2
 1  3  1  -4.1  943 199  1.6 7  2.8  95    0    0 257 -307  2
 1  3  2  -4.2  943 202  1.5 8  2.8  93    0    0 270 -307  2
 1  3  3  -3.3  943 223  2.0 7  2.9  94    0    0 274 -307  2
 1  3  4  -3.4  943 223  2.1 6  3.0  95    0    0 263 -309  2
 1  3  5  -3.0  943 187  2.8 7  3.1  97    0    0 265 -310  2
 1  3  6  -1.9  942 206  2.4 8  3.3  97    0    0 279 -312  2
 1  3  7  -1.8  942 197  2.4 8  3.5  98    0    0 288 -313  2
 1  3  8  -1.7  943 183  3.5 8  3.5  98    0    0 289 -315  2
 1  3  9  -1.3  943 175  3.6 8  3.6  98    4    9 290 -316  2
 1  3 10  -0.5  944 198  3.7 8  3.8  99   13   42 292 -317  2
 1  3 11   0.1  944 187  4.1 8  4.0  99    0   55 292 -317  2
 1  3 12   0.8  945 203  4.3 8  4.1  99    4   85 293 -318  2
 1  3 13   1.1  944 178  4.2 8  4.3  98    9   93 295 -318  2
 1  3 14   1.7  943 191  4.3 7  4.3  96   13   87 291 -319  2
 1  3 15   1.3  942 187  4.0 8  4.3  94    0   40 291 -320  2
 1  3 16   1.3  941 218  3.8 6  4.2  94    0   22 287 -321  2
 1  3 17   1.2  940 186  4.8 8  4.2  94    0    4 287 -320  2
 1  3 18   1.6  940 179  4.0 8  4.3  94    0    0 299 -318  2
 1  3 19   1.0  938 195  5.0 8  4.3  95    0    0 299 -318  2
 1  3 20   1.0  938 187  5.4 8  4.3  97    0    0 298 -318  2
 1  3 21   1.7  938 204  6.5 8  4.4  98    0    0 301 -318  2
 1  3 22   2.0  938 213  5.9 8  4.6  98    0    0 304 -318  2
 1  3 23   2.5  938 212  6.3 8  4.8  99    0    0 306 -318  2
 1  3 24   3.1  939 237  6.8 7  5.0  99    0    0 303 -318  2
 1  4  1   4.0  940 248  6.6 8  5.1  97    0    0 307 -319  2
 1  4  2   3.5  941 267  6.4 8  5.1  94    0    0 313 -320  2
 1  4  3   3.3  942 254  7.4 8  4.8  92    0    0 313 -322  2
 1  4  4   2.6  944 268  6.9 8  4.6  91    0    0 313 -323  2
 1  4  5   2.6  944 263  6.5 8  4.5  91    0    0 314 -324  2
 1  4  6   2.3  945 262  5.2 8  4.4  90    0    0 313 -326  2
 1  4  7   2.1  946 245  4.5 8  4.3  90    0    0 313 -328  2
 1  4  8   1.7  947 201  3.7 7  4.2  90    0    0 306 -330  2
 1  4  9   2.4  947 201  3.5 7  4.2  89    0    7 300 -331  2
 1  4 10   2.4  948 201  4.4 8  4.3  89    8   42 309 -332  2
 1  4 11   2.9  948 201  4.6 7  4.5  92    6   70 311 -333  2
 1  4 12   3.3  948 184  3.9 8  4.6  92    0   35 313 -333  2
 1  4 13   3.5  948 192  4.3 8  4.8  93    0   52 322 -334  2
 1  4 14   4.2  948 196  4.3 8  5.1  94    0   60 324 -335  2
 1  4 15   4.5  948 208  3.7 7  5.3  95    0   41 320 -336  2
 1  4 16   4.5  948 183  3.4 8  5.4  97    0   19 321 -337  2
 1  4 17   5.1  948 199  3.7 8  5.6  98    0    0 328 -338  2
 1  4 18   6.1  948 199  4.1 8  5.9  97    0    0 330 -339  2
 1  4 19   6.3  948 193  4.7 8  6.2  98    0    0 330 -340  2
 1  4 20   6.5  949 216  5.6 8  6.4  99    0    0 331 -340  2
 1  4 21   7.2  949 194  5.1 8  6.4  97    0    0 332 -342  2
 1  4 22   6.9  950 205  4.5 7  6.5  97    0    0 324 -344  2
 1  4 23   7.1  950 239  4.5 7  6.5  97    0    0 315 -345  2
 1  4 24   7.3  950 252  3.5 8  6.5  96    0    0 324 -346  2
 1  5  1   7.6  950 198  5.0 8  6.6  97    0    0 333 -347  2
 1  5  2   7.6  950 238  5.6 8  6.7  96    0    0 333 -347  2
 1  5  3   7.6  951 205  3.9 8  6.7  96    0    0 332 -347  2
 1  5  4   8.3  951 240  5.5 8  6.7  94    0    0 332 -347  2
 1  5  5   8.1  951 237  3.3 8  6.7  93    0    0 331 -347  2
 1  5  6   8.1  952 194  3.9 8  6.7  93    0    0 330 -347  2
 1  5  7   7.9  952 235  4.5 8  6.6  92    0    0 329 -347  2
 1  5  8   8.1  952 229  4.3 7  6.6  92    0    0 321 -346  2
 1  5  9   8.1  952 220  4.1 8  6.6  92    0    2 322 -345  2
 1  5 10   8.3  953 166  4.2 8  6.6  92    0   21 327 -344  2
 1  5 11   8.2  953 162  5.0 8  6.7  92    5   61 326 -345  2
 1  5 12   8.3  953 172  4.5 8  6.7  93   10   80 323 -347  2
 1  5 13   8.2  953 169  4.7 8  6.8  94   20   83 321 -349  2
 1  5 14   8.5  953 199  3.8 8  6.8  93   20   73 321 -351  2
 1  5 15   8.9  953 156  3.6 8  6.7  90    5   53 320 -351  2
 1  5 16   8.4  953 182  4.3 7  6.7  90   10   23 311 -349  2
 1  5 17   7.8  952 180  3.9 8  6.5  91    0    5 307 -346  2
 1  5 18   7.4  952 166  4.3 8  6.4  92    0    0 308 -342  2
 1  5 19   7.2  952 177  5.1 6  6.3  93    0    0 298 -338  2
 1  5 20   6.2  952 180  4.4 5  6.2  95    0    0 284 -335  2
 1  5 21   5.6  952 203  4.3 3  6.0  97    0    0 269 -333  2
 1  5 22   6.3  953 203  4.7 3  5.9  95    0    0 262 -331  2
 1  5 23   6.6  953 186  5.3 3  5.8  91    0    0 262 -329  2
 1  5 24   5.5  953 186  5.4 4  5.8  93    0    0 263 -328  2
 1  6  1   5.4  953 180  6.0 1  5.6  94    0    0 254 -326  2
 1  6  2   3.9  952 191  4.9 1  5.4  96    0    0 242 -325  2
 1  6  3   3.6  952 207  5.0 2  5.3  99    0    0 243 -323  2
 1  6  4   4.5  952 221  4.6 2  5.2  96    0    0 245 -322  2
 1  6  5   3.6  952 195  4.4 1  5.2  96    0    0 243 -321  2
 1  6  6   4.2  952 198  4.3 2  5.2  98    0    0 242 -320  2
 1  6  7   4.1  952 195  3.6 3  5.2  95    0    0 246 -320  2
 1  6  8   3.4  952 194  3.2 3  5.1  96    0    0 245 -319  2
 1  6  9   3.4  952 197  2.7 4  5.0  97    0    0 245 -318  2
 1  6 10   4.1  953 203  3.6 4  5.1  96   89   39 247 -320  2
 1  6 11   5.6  953 225  2.7 4  5.2  91  167   57 250 -324  2
 1  6 12   6.4  953 222  3.6 4  5.3  86  207   71 252 -330  2
 1  6 13   7.8  953 222  3.6 4  5.4  81  203   81 254 -335  2
 1  6 14   8.5  952 212  3.3 4  5.4  76  192   70 256 -338  2
 1  6 15   8.5  951 210  3.9 4  5.4  74   92   74 258 -339  2
 1  6 16   7.7  950 200  4.4 3  5.4  75   31   42 256 -337  2
 1  6 17   6.2  950 193  3.5 4  5.2  79    0    6 253 -333  2
 1  6 18   5.0  950 212  3.1 3  5.0  83    0    0 250 -331  2
 1  6 19   5.0  950 199  4.0 2  4.9  84    0    0 244 -329  2
 1  6 20   3.9  949 189  4.8 1  4.7  84    0    0 238 -328  2
 1  6 21   3.2  948 181  3.7 0  4.5  86    0    0 229 -327  2
 1  6 22   3.1  947 184  3.3 1  4.4  87    0    0 226 -324  2
 1  6 23   3.3  947 203  3.6 1  4.4  87    0    0 229 -323  2
 1  6 24   3.0  946 218  5.2 1  4.4  86    0    0 230 -321  2
 1  7  1   3.2  946 179  4.4 2  4.4  86    0    0 235 -321  2
 1  7  2   3.0  946 197  5.0 1  4.4  86    0    0 236 -321  2
 1  7  3   2.7  945 202  4.8 1  4.2  84    0    0 234 -321  2
 1  7  4   1.4  943 203  4.9 3  4.0  84    0    0 241 -321  2
 1  7  5   2.6  943 202  5.0 3  3.9  83    0    0 250 -321  2
 1  7  6   3.2  943 208  5.2 3  4.0  79    0    0 254 -321  2
 1  7  7   3.8  943 217  6.7 3  3.9  75    0    0 255 -321  2
 1  7  8   4.5  943 212  4.7 2  3.8  70    0    0 251 -322  2
 1  7  9   5.0  942 198  5.9 2  3.8  66   15    3 244 -326  2
 1  7 10   5.1  942 194  7.1 7  3.9  66   55   24 267 -329  2
 1  7 11   7.6  942 195  6.0 8  4.2  65   14   73 303 -332  2
 1  7 12   7.8  942 251  6.0 7  4.6  65   33   93 308 -334  2
 1  7 13   9.0  941 241  5.8 6  4.9  66   31   98 301 -334  2
 1  7 14   8.7  941 251  5.0 6  5.0  66   36   85 299 -335  2
 1  7 15   8.0  940 254  4.2 7  5.1  70    0   46 304 -334  2
 1  7 16   7.9  940 315  4.0 8  5.2  73    0    9 314 -334  2
 1  7 17   6.7  940 252  4.7 8  5.1  75    0    1 318 -331  2
 1  7 18   4.1  940 261  3.9 8  5.1  84    0    0 312 -326  2
 1  7 19   2.3  939 246  4.7 8  4.9  96    0    0 305 -322  2
 1  7 20   1.7  939 261  3.3 8  4.6  98    0    0 300 -322  2
 1  7 21   1.5  940 350  3.7 8  4.5  97    0    0 297 -321  2
 1  7 22   1.4  940 351  2.1 8  4.4  96    0    0 294 -319  2
 1  7 23   1.4  940 339  1.3 8  4.3  95    0    0 295 -320  2
 1  7 24   1.5  940 244  1.9 8  4.3  94    0    0 297 -319  2
 1  8  1   1.2  940 162  2.0 8  4.3  95    0    0 298 -319  2
 1  8  2   1.2  939 204  2.5 8  4.4  98    0    0 298 -319  2
 1  8  3   1.3  939 202  2.4 8  4.4  98    0    0 299 -318  2
 1  8  4   1.5  939 179  2.1 8  4.4  98    0    0 301 -319  2
 1  8  5   1.4  938 210  5.3 8  4.5  98    0    0 303 -319  2
 1  8  6   1.3  937 206  4.7 8  4.4  98    0    0 304 -322  2
 1  8  7   1.4  936 209  3.8 8  4.4  98    0    0 305 -323  2
 1  8  8   1.0  936 219  5.7 8  4.4  99    0    0 306 -321  2
 1  8  9   1.1  936 207  5.9 8  4.4  98    0    9 306 -319  2
 1  8 10   1.2  935 215  5.5 8  4.4  98    0   23 307 -319  2
 1  8 11   2.0  935 248  6.6 8  4.5  98    0   35 308 -322  2
 1  8 12   2.7  935 251  6.2 7  4.7  96    5   80 304 -327  2
 1  8 13   3.0  934 275  4.5 8  4.8  95    0   74 306 -330  2
 1  8 14   2.9  934 277  4.0 8  4.8  94    0   39 312 -331  2
 1  8 15   2.8  934 246  4.1 8  4.7  94    0   30 312 -331  2
 1  8 16   2.7  933 226  4.8 7  4.6  91    5   25 304 -330  2
 1  8 17   1.8  934 235  4.5 6  4.4  91    0    0 286 -328  2
 1  8 18   1.2  934 300  3.2 6  4.3  95    0    0 276 -326  2
 1  8 19   1.2  934 245  1.9 6  4.2  94    0    0 279 -323  2
 1  8 20   1.1  934 220  3.1 4  4.2  93    0    0 269 -319  2
 1  8 21   0.9  934 214  3.9 4  4.1  94    0    0 257 -318  2
 1  8 22   0.9  934 224  5.3 6  4.2  95    0    0 267 -317  2
 1  8 23   1.0  934 245  3.9 6  4.1  94    0    0 278 -317  2
 1  8 24   0.9  934 254  5.1 5  4.1  92    0    0 272 -317  2
 1  9  1   0.7  935 225  5.7 4  4.0  92    0    0 262 -317  2
 1  9  2   0.9  935 235  5.0 7  4.1  94    0    0 272 -317  2
 1  9  3   1.2  935 243  5.1 8  4.1  93    0    0 291 -317  2
 1  9  4   1.2  935 241  5.0 8  4.1  92    0    0 294 -318  2
 1  9  5   1.2  935 246  5.4 8  4.1  92    0    0 293 -317  2
 1  9  6   0.9  934 230  4.5 8  4.1  93    0    0 292 -317  2
 1  9  7   1.0  934 280  4.9 8  4.2  94    0    0 290 -317  2
 1  9  8   1.1  935 229  3.4 8  4.2  94    0    0 291 -317  2
 1  9  9   0.9  935 186  3.5 8  4.2  95    0    2 292 -317  2
 1  9 10   1.0  935 213  4.0 6  4.2  96    0   17 282 -317  2
 1  9 11   0.9  936 226  4.1 8  4.3  97    0   36 281 -317  2
 1  9 12   1.0  936 223  3.8 8  4.3  97    0   58 292 -317  2
 1  9 13   0.9  936 242  3.3 8  4.3  97    0   61 292 -318  2
 1  9 14   1.1  936 248  2.8 8  4.3  97    0   43 292 -318  2
 1  9 15   1.1  936 240  2.2 8  4.3  96    0   21 292 -318  2
 1  9 16   1.1  936 250  2.0 8  4.3  97    0    8 292 -317  2
 1  9 17   0.9  936 259  1.1 8  4.3  97    0    1 291 -317  2
