MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -0.9  990 140  2.2 8  3.3  91    0    0 257 -289  1
 1  1  2  -1.6  990 116  2.4 7  3.1  88    0    0 258 -289  1
 1  1  3  -2.1  989 101  2.6 6  2.9  87    0    0 248 -289  1
 1  1  4  -2.0  989 108  2.9 6  2.9  86    0    0 231 -290  1
 1  1  5  -1.9  988 114  3.1 6  2.9  86    0    0 232 -291  1
 1  1  6  -1.8  987 120  3.2 7  2.9  86    0    0 248 -292  1
 1  1  7  -1.7  986 117  2.9 7  2.9  85    0    0 258 -292  1
 1  1  8  -2.2  986 120  3.9 6  2.9  85    0    0 254 -293  1
 1  1  9  -2.5  985 135  3.8 6  2.8  86    0    3 249 -294  1
 1  1 10  -1.2  985 119  4.4 6  2.9  85    3   41 251 -296  1
 1  1 11  -0.6  984 127  4.4 5  2.9  81   38   91 249 -299  1
 1  1 12  -0.1  983 135  4.1 6  2.9  78   33  118 250 -302  1
 1  1 13   0.1  982 126  4.8 6  2.9  74   34  126 256 -307  1
 1  1 14   0.1  981 124  4.1 6  2.8  71   37  113 257 -310  1
 1  1 15   0.0  980 127  4.3 7  2.7  69   10   76 263 -311  1
 1  1 16  -0.1  980 118  5.0 7  2.7  68    2   34 269 -311  1
 1  1 17  -0.4  979 117  4.4 8  2.7  70    0    1 277 -311  1
 1  1 18  -0.5  979 118  4.2 8  2.7  72    0    0 285 -311  1
 1  1 19  -0.6  978 115  4.0 8  2.7  72    0    0 286 -311  1
 1  1 20  -0.7  978 118  4.2 7  2.7  71    0    0 280 -311  1
 1  1 21  -0.8  978 113  3.8 8  2.7  72    0    0 280 -312  1
 1  1 22  -1.2  977 118  3.7 7  2.6  72    0    0 281 -312  1
 1  1 23  -1.3  977 115  3.4 7  2.5  71    0    0 273 -312  1
 1  1 24  -1.6  978 104  3.8 6  2.5  71    0    0 265 -312  1
 1  2  1  -2.1  977  90  4.3 8  2.5  73    0    0 272 -313  1
 1  2  2  -2.4  977  89  4.1 7  2.5  74    0    0 280 -313  1
 1  2  3  -2.4  978  93  4.6 8  2.4  74    0    0 280 -314  1
 1  2  4  -2.7  978  99  5.0 8  2.4  74    0    0 287 -314  1
 1  2  5  -2.5  978 104  5.4 8  2.4  74    0    0 288 -315  1
 1  2  6  -3.1  979 111  5.5 7  2.4  76    0    0 280 -315  1
 1  2  7  -3.1  979 106  5.6 7  2.4  78    0    0 269 -315  1
 1  2  8  -3.0  980  94  5.6 6  2.4  78    0    0 257 -315  1
 1  2  9  -3.4  980  91  4.6 6  2.4  78    0    4 243 -315  1
 1  2 10  -3.4  981  76  4.8 6  2.4  79   24   49 238 -315  1
 1  2 11  -3.0  982  77  4.8 5  2.4  77   32   91 223 -316  1
 1  2 12  -2.5  983  82  4.7 7  2.3  74   15  111 236 -318  1
 1  2 13  -2.2  983  74  4.6 7  2.3  70   14  117 262 -320  1
 1  2 14  -2.0  983  57  4.8 5  2.3  68   86  107 240 -322  1
 1  2 15  -1.7  984  45  4.1 4  2.2  65   58   81 213 -322  1
 1  2 16  -2.0  984  43  4.2 5  2.2  64    6   38 221 -322  1
 1  2 17  -2.8  985  59  5.0 5  2.2  67    0    4 236 -322  1
 1  2 18  -3.3  986  49  4.3 5  2.2  70    0    0 241 -322  1
 1  2 19  -3.7  986  47  3.2 7  2.2  74    0    0 257 -322  1
 1  2 20  -4.5  987  44  3.5 8  2.2  77    0    0 274 -321  1
 1  2 21  -4.7  988  39  3.1 6  2.2  81    0    0 267 -321  1
 1  2 22  -5.2  988  19  3.1 4  2.3  84    0    0 244 -319  1
 1  2 23  -5.3  989  38  3.6 4  2.2  84    0    0 230 -317  1
 1  2 24  -5.6  988  50  3.3 7  2.2  86    0    0 246 -316  1
 1  3  1  -6.0  988  60  2.8 8  2.2  87    0    0 267 -315  1
 1  3  2  -4.8  988  55  2.6 6  2.2  86    0    0 261 -314  1
 1  3  3  -5.4  989  47  3.2 4  2.2  84    0    0 239 -312  1
 1  3  4  -5.4  989  68  2.2 4  2.2  84    0    0 227 -311  1
 1  3  5  -4.7  989  46  1.7 6  2.2  82    0    0 237 -309  1
 1  3  6  -5.4  989  39  1.8 8  2.2  84    0    0 260 -307  1
