MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   3.0  976 159  5.3 3  4.5  85    0    0 201 -300  0
 1  1  2   0.9  976 146  4.9 2  3.6  82    0    0 199 -299  0
 1  1  3  -1.0  975 137  4.6 2  2.9  79    0    0 211 -298  0
 1  1  4  -1.0  974 140  4.8 4  2.9  77    0    0 237 -299  0
 1  1  5  -1.1  973 142  4.8 5  2.8  76    0    0 251 -301  0
 1  1  6  -1.6  972 139  4.9 6  2.8  80    0    0 256 -302  0
 1  1  7  -0.8  971 142  4.5 8  2.8  76    0    0 275 -304  0
 1  1  8  -0.9  971 138  3.6 8  2.8  75    0    0 288 -306  0
 1  1  9  -1.1  970 140  3.4 8  2.9  78    0    0 289 -307  0
 1  1 10  -0.4  970 150  4.3 8  3.0  79    0   19 292 -308  0
 1  1 11   0.6  969 163  5.2 8  3.0  76    0   49 295 -310  0
 1  1 12   1.2  970 166  6.1 7  3.2  75    0   70 295 -313  0
 1  1 13   1.3  969 170  6.8 7  3.4  78    0   68 295 -315  0
 1  1 14   1.3  969 153  6.3 7  3.6  83    0   52 297 -317  0
 1  1 15   1.2  968 155  5.6 7  3.9  89    0   37 299 -317  0
 1  1 16   1.4  967 138  4.9 8  4.1  94    0   16 307 -317  0
 1  1 17   1.4  967 153  3.5 8  4.2  95    0    0 317 -318  0
 1  1 18   1.5  966 188  3.3 8  4.2  95    0    0 319 -318  0
 1  1 19   1.0  967 203  4.7 8  4.2  96    0    0 319 -318  0
 1  1 20   1.4  967 191  4.3 8  4.1  95    0    0 318 -318  0
 1  1 21   1.7  967 189  6.0 8  4.3  96    0    0 320 -321  0
 1  1 22   2.1  966 163  5.6 6  4.5  98    0    0 296 -326  0
 1  1 23   3.1  966 171  4.9 6  4.7  98    0    0 289 -327  0
 1  1 24   3.4  965 186  3.7 6  5.0  99    0    0 296 -328  0
 1  2  1   3.5  965 149  5.0 7  5.0  98    0    0 303 -330  0
 1  2  2   3.4  965 177  4.3 8  5.0  98    0    0 317 -332  0
 1  2  3   3.4  965 195  5.1 8  5.1  99    0    0 324 -334  0
 1  2  4   4.4  964 191  5.8 8  5.2  98    0    0 326 -335  0
 1  2  5   4.7  964 183  5.0 8  5.4  97    0    0 327 -336  0
 1  2  6   4.2  964 195  5.0 7  5.4  99    0    0 320 -336  0
 1  2  7   3.9  963 180  3.9 7  5.3 100    0    0 311 -336  0
 1  2  8   4.4  963 170  3.9 7  5.4 100    0    0 311 -336  0
 1  2  9   4.6  963 180  4.9 7  5.5 100    0    0 313 -337  0
 1  2 10   5.5  963 184  5.3 7  5.7 100    0   26 314 -339  0
 1  2 11   5.9  963 185  4.7 5  6.0 100   23   95 301 -343  0
 1  2 12   8.0  964 191  5.3 5  6.3  96   27  126 285 -347  0
 1  2 13   7.9  964 183  6.9 4  6.4  92   72  146 274 -350  0
 1  2 14   9.1  964 184  7.7 3  6.3  87   77  134 254 -352  0
 1  2 15   9.4  964 188  7.6 4  6.2  81   26   95 255 -352  0
 1  2 16   8.8  963 197  7.6 6  6.2  82    8   46 285 -351  0
 1  2 17   7.2  963 197  7.1 5  6.2  88    0    4 294 -350  0
 1  2 18   7.9  963 185  5.9 4  6.1  89    0    0 278 -348  0
 1  2 19   7.9  963 197  8.3 4  6.0  87    0    0 272 -347  0
 1  2 20   7.5  963 176  6.5 5  6.0  87    0    0 277 -346  0
 1  2 21   6.1  963 173  5.6 3  5.9  91    0    0 269 -344  0
 1  2 22   7.5  964 171  6.3 6  5.8  89    0    0 280 -343  0
 1  2 23   8.1  964 185  6.3 6  5.7  82    0    0 303 -343  0
 1  2 24   7.0  964 179  5.5 6  5.7  84    0    0 302 -343  0
 1  3  1   7.7  964 189  5.6 7  5.6  84    0    0 307 -341  0
 1  3  2   7.5  964 204  6.0 7  5.6  82    0    0 313 -337  0
 1  3  3   7.1  965 211  5.7 6  5.5  83    0    0 306 -336  0
 1  3  4   6.4  965 191  6.9 5  5.4  84    0    0 292 -338  0
 1  3  5   6.3  965 195  7.3 5  5.3  85    0    0 285 -338  0
 1  3  6   6.4  965 181  6.5 6  5.3  84    0    0 291 -338  0
 1  3  7   6.3  965 211  7.0 7  5.3  84    0    0 301 -338  0
 1  3  8   5.3  965 230  6.9 7  5.3  87    0    0 305 -338  0
 1  3  9   5.3  967 238  6.4 7  5.3  91    0    4 304 -337  0
 1  3 10   5.7  968 239  6.5 6  5.3  90   16   45 298 -336  0
 1  3 11   5.9  969 241  8.7 6  5.2  87    4   70 292 -337  0
 1  3 12   5.3  970 240  7.6 8  5.1  86    6   97 303 -338  0
 1  3 13   6.1  971 254  8.9 4  5.0  84   45  126 293 -340  0
 1  3 14   6.1  971 262  7.2 3  4.9  81   80  116 268 -341  0
 1  3 15   5.8  971 253  4.9 5  4.9  80   44   88 271 -340  0
 1  3 16   4.7  972 243  4.6 8  4.8  84    0   20 290 -340  0
 1  3 17   4.7  973 223  4.4 5  4.7  85    0    0 288 -338  0
 1  3 18   3.9  973 235  2.6 5  4.6  85    0    0 272 -337  0
 1  3 19   3.2  974 218  5.5 3  4.4  86    0    0 260 -337  0
 1  3 20   3.1  974 193  4.4 5  4.3  86    0    0 260 -338  0
 1  3 21   2.0  974 152  4.4 5  4.2  88    0    0 269 -339  0
 1  3 22   1.4  974 166  4.7 1  4.1  92    0    0 248 -338  0
 1  3 23   1.4  973 151  4.0 1  4.1  93    0    0 231 -337  0
 1  3 24   3.0  973 146  5.0 5  4.1  88    0    0 256 -338  0
 1  4  1   4.1  973 152  5.6 5  4.2  82    0    0 280 -338  0
 1  4  2   4.5  972 158  5.6 7  4.3  80    0    0 293 -339  0
 1  4  3   4.8  971 158  6.7 8  4.4  79    0    0 311 -340  0
 1  4  4   4.2  970 153  6.2 8  4.4  80    0    0 317 -341  0
 1  4  5   4.2  969 169  6.8 8  4.3  81    0    0 318 -341  0
 1  4  6   3.5  968 159  6.1 8  4.4  84    0    0 318 -342  0
 1  4  7   3.9  967 144  6.7 7  4.4  86    0    0 313 -342  0
 1  4  8   3.7  966 165  7.5 8  4.6  87    0    0 314 -343  0
 1  4  9   4.1  966 154  7.7 8  4.7  89    0    0 324 -343  0
 1  4 10   4.9  966 155  7.0 7  4.8  87    0   13 318 -344  0
 1  4 11   5.3  965 183  7.0 8  4.9  86    0   42 319 -345  0
 1  4 12   5.6  965 165  7.0 7  5.1  86    0   62 321 -346  0
 1  4 13   5.7  964 156  7.0 7  5.2  88    0   58 314 -347  0
 1  4 14   5.8  963 157  6.2 7  5.4  90    0   41 317 -349  0
 1  4 15   6.4  964 152  7.2 8  5.5  90    0   38 326 -352  0
 1  4 16   6.4  964 186  7.6 8  5.7  91    0   20 334 -353  0
 1  4 17   7.0  964 222  8.1 8  5.8  90    0    3 334 -352  0
 1  4 18   7.2  964 245  7.6 6  5.7  87    0    0 319 -350  0
 1  4 19   7.3  966 246  7.2 7  5.6  84    0    0 313 -350  0
 1  4 20   6.4  966 234  8.0 8  5.4  83    0    0 323 -349  0
 1  4 21   6.0  966 227  5.5 5  5.2  83    0    0 306 -348  0
 1  4 22   6.3  966 221  6.3 7  5.1  82    0    0 297 -348  0
 1  4 23   5.7  967 242  6.0 7  5.0  82    0    0 308 -348  0
 1  4 24   4.0  968 223  4.5 5  4.9  87    0    0 290 -347  0
 1  5  1   5.0  968 175  3.5 6  4.9  90    0    0 282 -346  0
 1  5  2   5.7  968 182  5.2 7  5.0  87    0    0 301 -345  0
 1  5  3   5.7  967 175  6.0 7  5.1  86    0    0 309 -346  0
 1  5  4   6.2  967 185  8.1 7  5.3  87    0    0 312 -347  0
 1  5  5   5.2  966 183  7.8 8  5.3  89    0    0 317 -346  0
 1  5  6   5.4  965 180  7.2 7  5.4  94    0    0 318 -345  0
 1  5  7   5.7  964 180  8.4 6  5.6  94    0    0 310 -345  0
 1  5  8   6.0  963 183  8.6 8  5.6  92    0    0 318 -345  0
 1  5  9   6.0  963 173  8.5 8  5.6  91    0    0 328 -345  0
 1  5 10   5.9  962 178  8.6 8  5.5  91    0   15 328 -345  0
 1  5 11   6.3  960 176  7.3 7  5.5  90    0   29 325 -346  0
 1  5 12   6.6  959 163  8.4 8  5.7  90    0   34 327 -347  0
 1  5 13   6.3  958 160  6.9 8  5.9  93    0   32 336 -349  0
 1  5 14   7.2  957 162  5.3 8  6.0  93    0   26 339 -350  0
 1  5 15   8.1  955 199  6.9 8  6.2  90    0   24 343 -352  0
 1  5 16   8.5  955 201  7.3 8  6.4  89    0    8 346 -354  0
 1  5 17   9.2  955 207  9.0 7  6.6  88    0    0 338 -355  0
 1  5 18   9.2  955 226  9.1 7  6.8  89    0    0 327 -356  0
 1  5 19   9.7  955 227  9.8 8  7.0  89    0    0 340 -358  0
 1  5 20   9.9  955 219  9.1 8  7.1  88    0    0 353 -359  0
 1  5 21   9.6  955 226  7.7 8  7.2  90    0    0 352 -360  0
 1  5 22   9.1  955 228  6.8 8  7.2  92    0    0 349 -360  0
 1  5 23   9.7  955 203  5.7 8  7.2  92    0    0 350 -361  0
 1  5 24   9.8  955 193 14.9 8  7.2  90    0    0 350 -363  0
 1  6  1  10.3  955 206  8.4 8  7.2  89    0    0 351 -363  0
 1  6  2  10.1  954 219  6.5 8  7.4  90    0    0 349 -358  0
 1  6  3  10.1  954 188  6.1 8  7.5  92    0    0 347 -353  0
 1  6  4  10.5  954 226 10.0 8  7.5  91    0    0 346 -348  0
 1  6  5  10.1  954 260  8.2 8  7.5  90    0    0 344 -344  0
 1  6  6   8.7  955 307  9.0 8  6.9  88    0    0 338 -342  0
 1  6  7   6.6  957 304  5.8 7  5.9  85    0    0 322 -337  0
 1  6  8   5.6  960 272  4.7 7  5.4  86    0    0 307 -330  0
 1  6  9   5.6  962 270  4.1 7  5.2  87    0    2 305 -327  0
 1  6 10   5.3  963 250  5.6 7  5.1  86   20   38 302 -326  0
 1  6 11   5.7  964 229  5.8 8  5.0  85    1   57 305 -328  0
 1  6 12   6.5  966 236  5.6 8  5.0  82    0   68 309 -333  0
 1  6 13   6.6  966 235  4.4 7  5.0  79    3   90 303 -337  0
 1  6 14   6.6  966 231  3.8 7  5.0  79    3   81 297 -340  0
 1  6 15   6.6  967 232  4.1 7  5.1  80    1   59 296 -342  0
 1  6 16   6.2  967 221  4.5 7  5.1  81    3   34 297 -343  0
 1  6 17   5.9  968 217  3.4 8  5.2  85    0    5 300 -340  0
 1  6 18   6.5  968 199  3.2 7  5.3  86    0    0 301 -337  0
 1  6 19   5.3  969 217  2.2 8  5.4  89    0    0 301 -335  0
 1  6 20   5.2  969 194  3.3 8  5.4  93    0    0 305 -335  0
 1  6 21   5.4  970 200  3.0 8  5.4  94    0    0 310 -336  0
 1  6 22   5.2  970 235  3.2 8  5.4  93    0    0 311 -336  0
 1  6 23   4.8  971 209  2.9 8  5.3  93    0    0 312 -336  0
 1  6 24   5.0  971 192  2.6 8  5.2  93    0    0 312 -336  0
 1  7  1   4.8  972 226  2.6 8  5.2  93    0    0 311 -336  0
 1  7  2   4.2  973 246  3.0 8  5.2  94    0    0 311 -336  0
 1  7  3   4.5  973 215  4.1 8  5.2  96    0    0 311 -335  0
 1  7  4   5.0  974 236  2.3 8  5.2  93    0    0 314 -333  0
 1  7  5   4.4  974 194  2.2 6  5.1  93    0    0 304 -331  0
 1  7  6   3.9  974 212  1.5 7  5.1  96    0    0 298 -329  0
 1  7  7   2.6  974 172  2.1 4  4.9  98    0    0 282 -326  0
 1  7  8   3.4  974 188  2.9 3  4.8  98    0    0 255 -322  0
 1  7  9   3.3  975 208  3.0 3  4.8  95    0    5 250 -320  0
 1  7 10   3.8  975 210  2.9 5  4.8  94   31   50 264 -322  0
 1  7 11   4.9  976 220  2.8 3  4.8  90   90   91 268 -327  0
 1  7 12   6.1  976 236  3.8 4  4.8  83   88  123 265 -335  0
 1  7 13   5.7  976 224  4.4 6  4.7  79   21  124 284 -342  0
 1  7 14   6.0  976 237  3.0 3  4.6  77   73  125 278 -345  0
 1  7 15   6.2  975 256  2.5 6  4.6  76   31   91 279 -344  0
 1  7 16   6.4  975 250  3.9 6  4.7  76   12   47 298 -343  0
 1  7 17   5.5  975 221  4.2 6  4.6  77    0    9 297 -340  0
 1  7 18   4.6  976 231  2.4 6  4.6  81    0    0 294 -334  0
 1  7 19   4.2  976 224  2.0 6  4.6  85    0    0 291 -329  0
 1  7 20   4.7  976 212  2.2 5  4.6  85    0    0 283 -327  0
 1  7 21   4.6  977 243  2.3 6  4.6  84    0    0 283 -325  0
 1  7 22   4.3  977 215  1.5 7  4.7  86    0    0 293 -325  0
 1  7 23   3.8  977 218  2.7 7  4.7  90    0    0 297 -326  0
 1  7 24   3.2  977 208  1.5 7  4.7  93    0    0 294 -326  0
 1  8  1   2.9  977 228  1.8 6  4.7  96    0    0 287 -325  0
 1  8  2   3.2  977 259  1.6 6  4.7  96    0    0 281 -324  0
 1  8  3   3.2  977 243  0.9 5  4.6  94    0    0 274 -325  0
 1  8  4   2.3  977   7  0.5 6  4.5  93    0    0 272 -327  0
 1  8  5   1.6  976  34  1.3 5  4.3  95    0    0 269 -328  0
 1  8  6   0.1  977  68  1.6 5  4.1  97    0    0 257 -328  0
 1  8  7  -0.3  977  56  1.6 3  3.9 100    0    0 241 -328  0
 1  8  8  -0.4  977 182  1.9 5  3.8 100    0    0 244 -328  0
 1  8  9   0.1  977 301  1.6 4  3.9 100    0    5 253 -328  0
 1  8 10   0.2  978  26  1.2 3  4.0 100   16   37 244 -329  0
 1  8 11   0.8  978   3  2.0 5  4.0  99   12   68 251 -330  0
 1  8 12   1.4  978 274  2.7 7  4.0  95    1   78 276 -333  0
 1  8 13   2.0  978 178  2.9 6  4.0  91    4   90 282 -336  0
 1  8 14   3.4  977 227  2.6 4  4.1  86  111   71 262 -339  0
 1  8 15   3.1  978 147  3.0 3  4.1  83  142   42 244 -339  0
 1  8 16   3.0  978 191  2.0 5  4.1  83   49   27 256 -339  0
 1  8 17   2.6  977 232  2.5 6  4.0  83    3    8 275 -337  0
 1  8 18   0.3  977 220  2.0 5  3.8  88    0    0 270 -334  0
 1  8 19   1.2  977 235  2.1 3  3.8  92    0    0 251 -331  0
 1  8 20   1.7  978 245  2.8 3  3.9  89    0    0 243 -330  0
 1  8 21   2.3  978 236  2.9 4  4.0  89    0    0 248 -330  0
 1  8 22   1.8  978 207  2.4 6  4.1  90    0    0 264 -330  0
 1  8 23   1.6  978 247  2.4 6  4.1  93    0    0 273 -329  0
 1  8 24   2.0  978 245  2.4 7  4.2  93    0    0 279 -329  0
 1  9  1   2.3  978 240  2.2 7  4.2  91    0    0 287 -329  0
 1  9  2   2.7  978 224  2.1 7  4.2  90    0    0 288 -329  0
 1  9  3   2.2  978 215  2.7 6  4.2  90    0    0 282 -328  0
 1  9  4   1.6  978 222  2.1 7  4.3  94    0    0 281 -327  0
 1  9  5   1.6  979 242  3.2 7  4.3  97    0    0 285 -326  0
 1  9  6   1.8  978 227  2.0 8  4.3  97    0    0 290 -326  0
 1  9  7   1.5  978 265  1.7 8  4.3  98    0    0 293 -327  0
 1  9  8   1.3  979 163  1.9 8  4.3 100    0    0 293 -327  0
 1  9  9   1.8  979 156  1.6 8  4.3  99    0    3 293 -326  0
 1  9 10   2.1  979 136  1.9 7  4.4  96   26   49 289 -326  0
 1  9 11   2.8  979 160  3.1 3  4.4  94   52   96 265 -328  0
 1  9 12   3.4  980 185  3.3 7  4.4  90    2   91 266 -332  0
 1  9 13   3.9  981 177  3.3 8  4.4  86    0   52 294 -337  0
 1  9 14   3.4  980 146  2.2 7  4.3  85    0   51 292 -340  0
 1  9 15   3.6  980 125  2.3 7  4.3  86    1   64 286 -340  0
 1  9 16   3.3  979  15  2.0 7  4.3  86   24   52 283 -338  0
 1  9 17   2.4  978 115  1.5 6  4.3  89    3   12 273 -334  0
 1  9 18   1.7  978 156  3.1 7  4.2  93    0    0 267 -329  0
