MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   0.6 1010 266  5.1 8  3.7  95    0    0 299 -303  2
 1  1  2   0.9 1010 262  5.9 8  3.7  93    0    0 300 -304  2
 1  1  3   1.1 1009 258  6.4 8  3.7  90    0    0 298 -305  2
 1  1  4   1.3 1008 258  6.7 8  3.7  88    0    0 297 -307  2
 1  1  5   1.6 1007 258  6.9 8  3.7  87    0    0 296 -307  2
 1  1  6   1.8 1006 261  7.7 8  3.7  85    0    0 296 -308  2
 1  1  7   2.1 1005 261  7.4 8  3.7  84    0    0 297 -309  2
 1  1  8   2.1 1004 261  7.6 8  3.8  86    0    0 300 -310  2
 1  1  9   2.4 1003 271  7.5 8  4.0  88    0    6 303 -311  2
 1  1 10   2.9 1003 279  7.5 8  4.1  88    0   31 305 -313  2
 1  1 11   3.1 1003 271  6.7 6  4.1  85    2   64 297 -315  2
 1  1 12   3.3 1003 280  8.3 6  3.8  80    1   85 286 -316  2
 1  1 13   3.4 1003 281  7.2 7  3.7  75    0   40 290 -316  2
 1  1 14   3.7 1003 289  7.4 7  3.6  72    0   38 296 -314  2
 1  1 15   3.1 1003 288  7.0 7  3.4  70    0   25 296 -312  2
 1  1 16   3.0 1003 290  6.3 7  3.3  70    0    3 295 -310  2
 1  1 17   2.8 1004 288  5.4 7  3.3  70    0    0 295 -308  2
 1  1 18   2.5 1005 279  5.2 8  3.3  71    0    0 302 -306  2
 1  1 19   2.4 1005 278  4.8 8  3.3  72    0    0 307 -304  2
 1  1 20   2.1 1005 270  3.9 8  3.3  73    0    0 306 -302  2
 1  1 21   2.0 1006 271  3.8 7  3.2  73    0    0 298 -299  2
 1  1 22   1.4 1006 280  4.2 6  3.2  75    0    0 285 -296  2
 1  1 23   1.6 1006 289  5.0 7  3.2  75    0    0 283 -294  2
 1  1 24   1.5 1007 288  4.8 7  3.1  73    0    0 287 -292  2
 1  2  1   1.3 1006 289  5.6 7  3.1  74    0    0 285 -291  2
 1  2  2   1.1 1006 299  4.6 8  3.1  74    0    0 287 -290  2
 1  2  3   1.0 1007 298  4.5 7  3.1  75    0    0 285 -289  2
 1  2  4   0.8 1007 290  4.6 7  3.1  76    0    0 279 -288  2
 1  2  5   0.7 1007 291  4.2 7  3.1  77    0    0 276 -287  2
 1  2  6   0.7 1007 297  3.5 7  3.2  80    0    0 275 -287  2
 1  2  7   0.6 1007 290  3.5 8  3.2  80    0    0 278 -286  2
 1  2  8   0.4 1007 287  4.8 7  3.1  79    0    0 277 -286  2
 1  2  9   0.5 1008 296  5.0 7  3.1  78    0    6 271 -287  2
 1  2 10   0.8 1008 295  3.9 8  3.1  78    6   34 275 -290  2
 1  2 11   1.1 1009 289  4.3 7  3.2  79    0   47 275 -294  2
 1  2 12   1.0 1009 288  5.7 8  3.1  76    0   41 275 -297  2
 1  2 13   1.2 1009 298  4.5 7  3.1  75    0   62 276 -300  2
 1  2 14   1.3 1009 287  5.5 5  3.0  72   40   84 263 -302  2
 1  2 15   0.6 1009 287  6.4 3  2.9  70   43   57 244 -301  2
 1  2 16  -0.2 1010 288  4.1 2  2.9  75    0   18 228 -298  2
 1  2 17  -1.0 1010 268  3.0 2  3.0  82    0    0 223 -296  2
 1  2 18  -1.7 1010 262  2.4 2  3.0  86    0    0 223 -294  2
 1  2 19  -1.9 1010 270  2.6 3  3.0  89    0    0 227 -293  2
 1  2 20  -1.9 1011 269  3.0 3  3.0  92    0    0 230 -294  2
 1  2 21  -1.9 1011 269  3.2 2  3.0  92    0    0 225 -296  2
 1  2 22  -1.8 1011 277  3.0 4  3.0  91    0    0 231 -297  2
 1  2 23  -1.6 1011 287  3.2 6  3.1  91    0    0 248 -297  2
 1  2 24  -2.0 1012 281  2.5 7  3.1  92    0    0 261 -294  2
 1  3  1  -1.5 1012 296  3.0 7  3.1  94    0    0 265 -292  2
 1  3  2  -2.3 1012 291  2.3 5  3.1  93    0    0 256 -288  2
 1  3  3  -2.1 1012 290  2.4 5  3.0  94    0    0 245 -285  2
 1  3  4  -1.5 1012 299  3.5 7  3.1  95    0    0 255 -283  2
 1  3  5  -1.5 1012 308  3.7 7  3.2  94    0    0 264 -281  2
 1  3  6  -1.3 1012 308  4.0 7  3.2  92    0    0 263 -278  2
 1  3  7  -1.8 1012 275  2.3 6  3.1  93    0    0 258 -276  2
 1  3  8  -1.5 1012 301  3.2 7  3.2  94    0    0 258 -274  2
 1  3  9  -1.4 1012 302  2.7 7  3.2  94    0    8 262 -273  2
 1  3 10  -1.7 1013 285  3.6 8  3.2  94    3   41 265 -273  2
 1  3 11  -2.1 1013 292  4.3 7  3.0  92    0   56 263 -274  2
 1  3 12  -1.8 1014 310  3.7 8  3.0  91    0   52 261 -277  2
 1  3 13  -1.6 1014 283  4.3 7  3.0  88    0   53 262 -280  2
 1  3 14  -1.2 1014 289  3.7 7  2.9  85    0   60 256 -282  2
 1  3 15  -1.3 1014 279  4.0 7  2.9  83    1   51 256 -282  2
 1  3 16  -1.3 1014 280  2.1 6  2.8  82    0    6 252 -284  2
 1  3 17  -1.9 1014 288  2.5 5  2.8  83    0    0 243 -286  2
 1  3 18  -3.1 1014 281  1.7 4  2.7  86    0    0 235 -291  2
 1  3 19  -4.0 1014 242  1.7 5  2.6  89    0    0 236 -296  2
 1  3 20  -4.5 1014 213  2.1 6  2.5  92    0    0 246 -299  2
 1  3 21  -4.1 1014 225  2.3 6  2.6  93    0    0 253 -299  2
 1  3 22  -3.5 1014 241  2.3 6  2.7  94    0    0 258 -299  2
 1  3 23  -3.2 1014 270  2.5 6  2.8  94    0    0 262 -300  2
 1  3 24  -2.6 1014 287  2.7 7  2.9  94    0    0 268 -300  2
 1  4  1  -2.2 1014 287  2.2 8  3.0  94    0    0 276 -300  2
 1  4  2  -2.1 1013 246  1.2 8  3.0  94    0    0 280 -302  2
 1  4  3  -2.5 1013 203  1.7 8  3.0  93    0    0 280 -303  2
 1  4  4  -2.3 1013 193  1.6 8  2.9  93    0    0 281 -304  2
 1  4  5  -2.2 1012 203  1.5 8  3.0  93    0    0 282 -304  2
 1  4  6  -2.0 1012 212  2.1 8  3.1  94    0    0 282 -303  2
 1  4  7  -1.7 1012 212  2.2 8  3.1  95    0    0 282 -303  2
 1  4  8  -1.6 1011 210  1.9 8  3.2  95    0    0 283 -303  2
 1  4  9  -1.5 1012 206  1.9 8  3.3  96    3   12 282 -303  2
 1  4 10  -1.2 1012 193  1.9 8  3.3  95   29   65 281 -304  2
 1  4 11  -1.0 1012 200  2.2 7  3.3  93    3   72 278 -304  2
 1  4 12  -0.8 1012 203  2.6 8  3.2  91    0   62 278 -306  2
 1  4 13  -0.5 1012 211  2.7 7  3.2  89    0   64 277 -306  2
 1  4 14  -0.7 1011 201  3.1 7  3.2  87    0   60 275 -307  2
 1  4 15  -0.7 1011 190  2.9 7  3.1  87    0   33 275 -307  2
 1  4 16  -1.2 1011 191  2.7 7  3.1  88    0    5 273 -306  2
 1  4 17  -1.8 1011 193  2.7 7  3.0  88    0    0 270 -302  2
 1  4 18  -2.2 1011 194  2.6 7  2.9  87    0    0 268 -299  2
 1  4 19  -2.5 1011 200  2.3 6  2.8  87    0    0 262 -297  2
 1  4 20  -3.4 1011 200  2.7 5  2.7  88    0    0 253 -294  2
 1  4 21  -4.0 1011 191  3.0 2  2.5  88    0    0 236 -290  2
 1  4 22  -4.6 1011 189  3.0 1  2.4  88    0    0 220 -287  2
 1  4 23  -5.2 1011 189  2.9 0  2.3  88    0    0 210 -285  2
 1  4 24  -5.4 1011 178  2.7 0  2.3  88    0    0 202 -283  2
 1  5  1  -6.3 1011 177  2.8 1  2.2  89    0    0 202 -281  2
 1  5  2  -6.8 1011 180  3.3 1  2.1  90    0    0 200 -280  2
 1  5  3  -7.3 1011 181  3.4 0  2.0  89    0    0 192 -279  2
 1  5  4  -7.5 1011 175  3.2 0  1.9  89    0    0 187 -278  2
 1  5  5  -7.7 1010 172  3.5 0  1.9  88    0    0 185 -277  2
 1  5  6  -8.3 1010 181  2.9 0  1.8  88    0    0 184 -275  2
 1  5  7  -8.4 1010 171  3.0 1  1.8  88    0    0 186 -274  2
 1  5  8  -8.5 1010 171  3.2 1  1.7  87    0    0 188 -273  2
 1  5  9  -8.3 1010 179  3.0 4  1.8  87    3    9 197 -271  2
 1  5 10  -7.0 1010 170  4.1 3  1.8  86   59   31 204 -271  2
 1  5 11  -5.3 1010 170  4.5 1  2.0  82  119   48 197 -272  2
 1  5 12  -3.8 1010 181  3.9 1  2.0  75  137   68 193 -274  2
 1  5 13  -3.1 1009 174  4.2 1  2.0  69  117   85 194 -276  2
 1  5 14  -2.9 1009 173  5.0 2  2.0  66   96   81 197 -277  2
 1  5 15  -3.5 1008 169  4.5 3  1.9  65   61   61 204 -276  2
 1  5 16  -4.0 1007 170  4.0 4  1.9  67    0   20 209 -274  2
 1  5 17  -4.5 1007 169  4.2 4  1.9  69    0    0 211 -272  2
 1  5 18  -5.4 1007 152  4.4 3  1.9  71    0    0 207 -270  2
 1  5 19  -5.8 1007 152  4.0 2  1.9  74    0    0 201 -269  2
 1  5 20  -6.2 1006 162  4.5 2  1.8  76    0    0 198 -268  2
 1  5 21  -6.3 1005 160  4.3 3  1.8  76    0    0 202 -268  2
 1  5 22  -7.0 1005 159  4.5 2  1.8  77    0    0 203 -268  2
 1  5 23  -7.2 1004 161  4.0 2  1.8  79    0    0 201 -268  2
 1  5 24  -7.3 1003 150  4.1 3  1.8  80    0    0 204 -269  2
 1  6  1  -6.5 1002 161  4.4 5  1.8  80    0    0 218 -270  2
 1  6  2  -6.1 1001 160  4.5 7  1.9  81    0    0 239 -272  2
 1  6  3  -5.0 1000 160  5.2 8  2.1  82    0    0 258 -273  2
 1  6  4  -3.8  999 158  5.1 7  2.2  79    0    0 265 -274  2
 1  6  5  -2.6  998 159  4.9 8  2.3  76    0    0 272 -277  2
 1  6  6  -2.4  997 163  5.3 7  2.3  73    0    0 277 -282  2
 1  6  7  -1.8  996 164  5.5 7  2.4  72    0    0 275 -286  2
 1  6  8  -1.4  995 170  5.2 7  2.4  70    0    0 277 -289  2
 1  6  9  -1.3  995 161  5.6 8  2.7  76    0    3 287 -293  2
 1  6 10  -0.7  995 172  5.6 8  3.1  87    0   17 298 -299  2
 1  6 11  -0.7  994 181  5.3 7  3.3  91    0   27 292 -303  2
 1  6 12  -0.1  994 189  4.9 8  3.5  94    0   36 293 -307  2
 1  6 13   0.3  994 185  4.2 8  3.7  94    0   58 306 -311  2
 1  6 14   1.0  994 191  3.5 8  3.8  94    0   50 308 -313  2
 1  6 15   1.5  994 193  3.1 6  4.0  94    0   41 280 -314  2
 1  6 16   1.6  994 182  3.6 7  4.0  93    0    8 273 -315  2
 1  6 17   1.8  994 170  3.4 7  4.1  93    0    0 294 -316  2
 1  6 18   1.7  994 152  3.7 7  4.1  93    0    0 298 -316  2
 1  6 19   1.7  994 158  4.1 8  4.0  92    0    0 309 -316  2
 1  6 20   2.1  993 161  4.4 8  4.1  93    0    0 319 -316  2
 1  6 21   2.8  993 170  4.8 8  4.4  95    0    0 322 -316  2
 1  6 22   2.7  992 174  4.3 8  4.6  97    0    0 324 -316  2
 1  6 23   3.1  992 183  5.3 8  4.7  98    0    0 325 -316  2
 1  6 24   3.5  992 190  5.3 8  4.8  97    0    0 326 -316  2
 1  7  1   3.5  992 191  4.9 8  4.8  96    0    0 326 -316  2
 1  7  2   4.3  992 198  4.7 8  5.0  96    0    0 328 -316  2
 1  7  3   5.4  992 201  6.4 8  5.2  96    0    0 331 -316  2
 1  7  4   5.8  992 211  5.8 8  5.4  94    0    0 333 -315  2
 1  7  5   6.5  994 247  6.1 8  5.6  93    0    0 334 -315  2
 1  7  6   6.0  995 270  6.8 8  5.5  91    0    0 334 -315  2
 1  7  7   4.0  997 299  4.8 8  4.9  89    0    0 329 -315  2
 1  7  8   3.2  999 283  3.5 8  4.4  89    0    0 324 -315  2
 1  7  9   3.0 1002 273  3.0 8  4.3  90    0    7 322 -315  2
 1  7 10   2.9 1003 289  2.3 8  4.3  90   11   35 321 -315  2
 1  7 11   3.3 1004 306  1.8 7  4.2  88    9   63 311 -315  2
 1  7 12   3.7 1005 288  1.4 6  4.1  83    9   87 294 -315  2
 1  7 13   3.9 1006 316  0.9 7  4.0  80    0   75 290 -315  2
 1  7 14   3.7 1005 166  2.4 7  4.0  79    0   53 296 -315  2
 1  7 15   3.3 1005 139  3.3 7  4.0  82    0   40 294 -316  2
 1  7 16   3.0 1005 119  3.3 8  4.0  84    0   10 304 -316  2
 1  7 17   2.9 1005 122  3.5 8  4.0  84    0    0 315 -316  2
 1  7 18   2.9 1004 123  3.4 8  4.0  86    0    0 315 -315  2
 1  7 19   3.0 1004 127  4.1 8  4.1  86    0    0 316 -316  2
 1  7 20   2.9 1003 136  3.7 8  4.1  87    0    0 317 -316  2
 1  7 21   2.8 1003 144  3.5 8  4.2  90    0    0 318 -316  2
 1  7 22   3.1 1002 148  3.2 8  4.4  94    0    0 320 -316  2
 1  7 23   2.8 1002 133  3.0 8  4.5  96    0    0 321 -316  2
 1  7 24   3.3 1002 151  2.6 8  4.7  98    0    0 323 -316  2
 1  8  1   3.5 1002 165  2.6 8  4.8  98    0    0 325 -316  2
 1  8  2   3.8 1001 176  2.6 8  4.9  98    0    0 326 -316  2
 1  8  3   3.8 1001 192  3.1 8  4.9  98    0    0 327 -316  2
 1  8  4   4.3 1001 201  3.3 8  5.0  98    0    0 329 -316  2
 1  8  5   4.7 1001 196  3.3 8  5.2  98    0    0 330 -316  2
 1  8  6   4.2 1001 189  2.6 8  5.2  98    0    0 329 -316  2
 1  8  7   3.5 1001 173  2.8 8  4.9  97    0    0 326 -316  2
 1  8  8   3.7 1001 180  3.1 8  4.9  98    0    0 325 -316  2
 1  8  9   3.3 1001 161  1.9 6  4.9  99    7    8 310 -318  2
 1  8 10   5.1 1001 171  3.2 6  5.1  98   21   39 301 -321  2
 1  8 11   5.8 1001 181  3.1 6  5.6  98   14   73 308 -322  2
 1  8 12   6.4 1001 183  3.6 8  5.8  97    0   48 323 -324  2
 1  8 13   7.4 1001 189  3.7 6  5.9  94   12  100 324 -326  2
 1  8 14   8.0 1001 181  3.9 6  6.0  91   14   91 314 -328  2
