MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   2.5 1019 261  2.6 7  4.5  97    0    0 272 -305  0
 1  1  2   1.4 1019 280  2.3 6  4.1  98    0    0 273 -305  0
 1  1  3   0.4 1019 297  2.1 6  3.8  99    0    0 273 -307  0
 1  1  4   0.2 1019 304  2.0 6  3.8  99    0    0 262 -311  0
 1  1  5  -0.0 1018 308  2.0 6  3.8  99    0    0 271 -312  0
 1  1  6  -0.1 1018 312  1.9 6  3.7 100    0    0 279 -314  0
 1  1  7  -0.1 1018 302  2.0 7  3.7  99    0    0 274 -314  0
 1  1  8  -0.2 1018 300  1.9 8  3.7  99    0    0 283 -315  0
 1  1  9   0.0 1018 306  1.5 7  3.7 100    0    2 282 -315  0
 1  1 10   0.1 1018 315  1.8 8  3.8 100    0   21 282 -315  0
 1  1 11   0.0 1018 324  2.0 6  3.8 100    0   34 277 -316  0
 1  1 12   0.2 1018 327  2.0 6  3.8 100    0   56 267 -317  0
 1  1 13   0.6 1018 334  2.1 6  3.9  99    0   64 268 -318  0
 1  1 14   0.7 1018 343  2.1 7  3.8  97    0   52 274 -318  0
 1  1 15   0.7 1018 334  2.0 7  3.7  94    0   32 278 -318  0
 1  1 16   0.5 1018 342  1.5 8  3.7  93    0    7 280 -318  0
 1  1 17  -0.2 1018 349  1.2 6  3.5  93    0    0 272 -318  0
 1  1 18  -0.8 1018 330  1.4 6  3.4  94    0    0 263 -318  0
 1  1 19  -0.9 1018 325  1.3 7  3.4  97    0    0 265 -318  0
 1  1 20  -0.5 1018 280  1.7 8  3.5  98    0    0 271 -318  0
 1  1 21  -0.3 1018 302  1.7 8  3.5  97    0    0 276 -317  0
 1  1 22  -0.6 1018 272  1.6 8  3.6  98    0    0 277 -317  0
 1  1 23  -0.6 1018 281  1.4 8  3.6  99    0    0 279 -316  0
 1  1 24  -0.5 1018 307  1.6 8  3.6 100    0    0 281 -316  0
 1  2  1  -0.6 1018 300  1.2 8  3.6 100    0    0 282 -316  0
 1  2  2  -0.4 1018 299  0.9 8  3.6 100    0    0 283 -317  0
 1  2  3  -0.4 1017 335  0.8 8  3.7 100    0    0 283 -317  0
 1  2  4  -0.3 1017  28  0.6 8  3.7 100    0    0 284 -317  0
 1  2  5  -0.4 1017  34  0.9 7  3.7 100    0    0 279 -317  0
 1  2  6  -0.2 1017  40  1.0 8  3.7  99    0    0 279 -317  0
 1  2  7   0.0 1017  84  1.9 8  3.7  98    0    0 283 -317  0
 1  2  8   0.0 1017  88  2.4 8  3.7  98    0    0 284 -317  0
 1  2  9  -0.3 1017 111  2.7 8  3.7  98    0    5 283 -317  0
 1  2 10  -0.6 1017 116  3.0 8  3.6  98    3   42 281 -317  0
 1  2 11  -0.5 1017 120  2.7 6  3.6  98    3   70 272 -317  0
 1  2 12  -0.7 1018  97  3.2 8  3.4  95    0   59 272 -318  0
 1  2 13  -0.5 1017 116  3.4 7  3.3  92    2   84 277 -318  0
 1  2 14  -0.7 1017  89  3.1 8  3.2  89    0   34 275 -318  0
