MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   3.3 1028 157  1.5 6  4.6  98    0    0 288 -314  1
 1  1  2   3.4 1028 162  1.5 6  4.6  97    0    0 280 -313  1
 1  1  3   3.5 1028 147  1.6 6  4.5  95    0    0 275 -313  1
 1  1  4   3.3 1028 119  1.8 6  4.5  94    0    0 281 -313  1
 1  1  5   3.1 1028  98  2.1 6  4.4  93    0    0 265 -313  1
 1  1  6   2.2 1028  71  2.6 8  4.3  94    0    0 272 -313  1
 1  1  7   2.1 1028  92  2.6 6  4.2  96    0    0 285 -313  1
 1  1  8   2.5 1028  67  2.8 7  4.1  93    0    0 280 -312  1
 1  1  9   2.6 1028  77  3.0 7  4.0  89    0    0 284 -311  1
 1  1 10   1.9 1028  92  1.5 4  4.0  90    0    7 268 -310  1
 1  1 11   2.3 1028  92  3.1 7  3.9  90    0   17 268 -310  1
 1  1 12   2.2 1028  99  2.0 7  3.9  88    0   33 281 -313  1
 1  1 13   2.2 1028  95  2.4 7  3.6  83    0   50 279 -316  1
 1  1 14   2.1 1028 104  3.3 7  3.3  77    0   56 278 -317  1
 1  1 15   1.8 1027 106  3.7 5  3.2  74   11   46 270 -317  1
 1  1 16   1.4 1027 122  2.5 8  3.0  71    0   20 271 -315  1
 1  1 17   1.1 1027 110  2.7 8  2.9  71    0    0 278 -312  1
 1  1 18   1.1 1027 113  2.5 7  3.0  73    0    0 273 -309  1
 1  1 19   1.1 1027 123  2.2 8  3.0  74    0    0 272 -307  1
 1  1 20   0.5 1027  92  2.1 8  3.0  75    0    0 274 -307  1
 1  1 21   1.0 1028 102  2.5 8  3.0  76    0    0 275 -306  1
 1  1 22   1.0 1028  96  2.6 8  3.1  76    0    0 277 -306  1
 1  1 23   1.2 1028 103  2.4 7  3.2  80    0    0 276 -306  1
 1  1 24   1.1 1027  96  2.2 8  3.4  84    0    0 279 -306  1
 1  2  1   1.0 1027  94  2.4 7  3.5  86    0    0 280 -305  1
 1  2  2   0.9 1027  94  1.9 6  3.4  85    0    0 271 -303  1
 1  2  3   1.3 1027  97  2.2 6  3.4  83    0    0 267 -302  1
 1  2  4   1.5 1027 111  2.5 8  3.3  81    0    0 275 -302  1
 1  2  5   1.5 1027 100  2.3 8  3.3  80    0    0 282 -303  1
 1  2  6   1.7 1027 103  2.0 8  3.4  80    0    0 284 -306  1
 1  2  7   1.6 1026 106  4.0 8  3.4  81    0    0 284 -309  1
 1  2  8   1.2 1026 102  3.1 8  3.5  83    0    0 284 -310  1
 1  2  9   1.0 1026 100  3.3 6  3.5  87    0    0 276 -310  1
 1  2 10   1.2 1026 100  3.8 6  3.6  88    0   27 266 -309  1
 1  2 11   1.0 1026  99  3.9 7  3.6  88    0   43 270 -310  1
 1  2 12   1.2 1026 126  8.0 6  3.6  88   11   86 271 -313  1
 1  2 13   1.0 1026  90  5.2 4  3.5  87   53  106 257 -316  1
 1  2 14   2.3 1025  93  5.9 3  3.5  83   46   93 244 -317  1
 1  2 15   1.3 1025  91  5.7 6  3.5  81    0   42 252 -318  1
 1  2 16   0.9 1024 106  4.5 8  3.5  85    1   21 271 -317  1
 1  2 17   0.9 1024  90  5.9 7  3.5  86    0    0 272 -315  1
 1  2 18   0.5 1023  99  4.7 7  3.4  86    0    0 265 -314  1
 1  2 19  -0.1 1023 103  5.1 6  3.2  85    0    0 260 -313  1
 1  2 20   0.0 1023 100  7.9 6  3.1  83    0    0 253 -312  1
 1  2 21   0.0 1022  99  6.2 6  3.0  80    0    0 252 -312  1
 1  2 22  -0.2 1022 106  7.1 7  3.0  81    0    0 257 -312  1
 1  2 23  -0.2 1021  92  6.2 8  3.0  81    0    0 266 -311  1
 1  2 24   0.0 1020  98  7.0 8  3.0  80    0    0 273 -308  1
 1  3  1   0.1 1020  86  5.7 8  3.1  83    0    0 277 -307  1
