MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -0.8  951 136  3.7 5  3.3  89    0    0 237 -325  3
 1  1  2  -2.0  951 104  3.5 6  3.2  93    0    0 239 -324  3
 1  1  3  -3.0  951  82  3.4 7  3.1  96    0    0 246 -323  3
 1  1  4  -2.9  951  84  3.4 7  3.1  96    0    0 259 -323  3
 1  1  5  -3.1  951  86  3.7 7  3.1  96    0    0 260 -322  3
 1  1  6  -3.1  951  86  3.3 7  3.1  97    0    0 253 -322  3
 1  1  7  -2.9  951  89  5.2 7  3.1  96    0    0 253 -322  3
 1  1  8  -1.5  951  86  6.5 5  3.1  91    0    0 241 -323  3
 1  1  9  -2.9  951 111  4.7 5  3.1  92    5   14 230 -324  3
 1  1 10  -1.4  951 127  5.4 6  3.3  96   18   62 236 -327  3
 1  1 11   0.5  951 140  3.7 7  3.6  92   36  108 253 -332  3
 1  1 12   1.2  952 117  3.6 8  3.8  89   15  122 269 -337  3
 1  1 13   2.7  952 102  3.4 7  3.9  84   27  137 272 -341  3
 1  1 14   3.3  952  95  3.4 6  4.0  80   56  127 264 -343  3
 1  1 15   3.3  952  99  2.9 7  4.1  80   30   95 266 -341  3
 1  1 16   3.1  951  98  3.0 7  4.1  80    8   47 273 -337  3
 1  1 17   2.0  952 104  2.9 7  4.0  82    0    5 272 -331  3
 1  1 18   0.0  952  99  2.5 7  3.8  87    0    0 269 -327  3
 1  1 19  -0.5  952  86  2.1 5  3.7  92    0    0 254 -325  3
 1  1 20  -1.0  952  68  2.5 5  3.6  94    0    0 243 -323  3
 1  1 21  -1.7  952 130  2.7 5  3.5  96    0    0 242 -322  3
 1  1 22  -1.4  952  97  1.9 3  3.5  97    0    0 231 -320  3
 1  1 23  -1.8  952  66  2.6 3  3.4  95    0    0 222 -319  3
 1  1 24  -2.2  953  60  1.8 2  3.3  95    0    0 216 -319  3
 1  2  1  -2.9  953  59  2.1 3  3.2  97    0    0 214 -318  3
 1  2  2  -3.2  953  96  2.7 3  3.2  98    0    0 218 -318  3
 1  2  3  -3.2  953  79  2.9 2  3.1  97    0    0 214 -317  3
 1  2  4  -3.8  953  64  2.8 0  3.0  97    0    0 201 -317  3
 1  2  5  -4.1  951  48  1.5 0  3.0  98    0    0 191 -316  3
 1  2  6  -3.4  952 139  3.1 2  2.9  96    0    0 200 -315  3
 1  2  7  -4.4  951  88  2.0 5  2.9  96    0    0 223 -315  3
 1  2  8  -4.0  951 151  1.8 5  2.8  96    0    0 237 -315  3
 1  2  9  -5.2  951 128  1.5 5  2.8  97    3   15 237 -315  3
 1  2 10  -3.8  951 165  1.6 6  2.9  99   27   76 242 -316  3
 1  2 11  -3.8  952 142  1.6 4  3.0  99   72  131 239 -317  3
 1  2 12  -1.2  951 120  1.6 4  3.3  98   95  164 233 -322  3
 1  2 13  -1.0  951 109  1.7 5  3.6  96   83  173 242 -331  3
 1  2 14   2.2  951 117  2.1 6  3.7  88   69  157 257 -337  3
 1  2 15   1.1  950 104  2.4 5  3.8  84   38  117 261 -338  3
 1  2 16   0.1  949 132  2.5 6  3.8  90    9   55 260 -334  3
 1  2 17  -1.1  949 119  1.5 6  3.7  94    0    5 261 -328  3
 1  2 18  -2.2  948 124  1.4 6  3.5  98    0    0 259 -324  3
 1  2 19  -3.1  949 162  1.9 4  3.3 100    0    0 245 -323  3
 1  2 20  -3.1  949 127  2.3 7  3.2 100    0    0 250 -321  3
 1  2 21  -3.0  949 116  2.3 4  3.2 100    0    0 249 -321  3
 1  2 22  -0.8  949 248  2.6 7  3.4  96    0    0 252 -321  3
 1  2 23  -1.9  949 214  2.0 7  3.5  95    0    0 275 -320  3
 1  2 24  -1.4  949 226  2.6 5  3.4  95    0    0 262 -319  3
 1  3  1  -1.4  949  65  2.7 4  3.4  92    0    0 244 -318  3
 1  3  2  -0.7  949  72  2.0 5  3.4  91    0    0 247 -318  3
 1  3  3  -1.1  949 243  1.6 5  3.5  93    0    0 255 -318  3
 1  3  4  -0.7  949 231  2.1 6  3.7  97    0    0 261 -318  3
 1  3  5   0.8  950 230  1.6 8  3.9  96    0    0 283 -318  3
 1  3  6  -1.7  950 239  2.0 8  3.8  97    0    0 293 -320  3
 1  3  7   0.1  950 216  2.7 8  3.8 100    0    0 291 -322  3
 1  3  8   0.0  951 244  3.0 8  4.1 100    0    0 294 -323  3
 1  3  9   1.3  951 245  4.3 8  4.2 100   17   15 297 -326  3
 1  3 10   3.6  952 259  3.5 6  4.5  92   83   47 290 -328  3
 1  3 11   3.1  952 232  3.3 5  4.5  88  118   87 275 -331  3
 1  3 12   4.5  952 252  5.1 3  4.5  85  200   86 259 -335  3
 1  3 13   6.0  952 243  4.5 2  4.4  75  228   82 245 -338  3
 1  3 14   6.0  951 249  3.5 2  4.3  69  204   76 242 -340  3
 1  3 15   6.9  949 241  2.4 1  4.2  66  133   68 241 -339  3
 1  3 16   5.6  949 158  2.2 2  4.3  68   47   44 243 -334  3
 1  3 17   4.8  948 142  3.8 6  4.2  72    1   10 266 -327  3
 1  3 18   4.2  947 153  4.3 8  4.2  75    0    0 296 -321  3
 1  3 19   3.9  945 186  4.2 7  4.2  78    0    0 302 -319  3
 1  3 20   5.3  945 187  6.6 7  4.4  79    0    0 300 -318  3
 1  3 21   7.0  946 238  8.9 6  4.7  74    0    0 301 -318  3
 1  3 22   6.4  946 248  9.6 7  4.9  74    0    0 305 -318  3
 1  3 23   6.7  947 256  9.4 7  5.0  77    0    0 309 -320  3
 1  3 24   6.5  948 254 10.6 7  4.9  76    0    0 308 -324  3
 1  4  1   6.6  949 265  9.1 7  4.8  74    0    0 308 -328  3
 1  4  2   5.8  950 266  7.9 8  4.7  74    0    0 312 -330  3
 1  4  3   5.8  951 269  7.6 8  4.6  75    0    0 316 -333  3
 1  4  4   5.5  953 266  6.5 8  4.5  75    0    0 319 -335  3
 1  4  5   5.4  954 262  6.8 7  4.4  74    0    0 314 -337  3
 1  4  6   4.0  954 263  6.0 7  4.4  78    0    0 306 -337  3
 1  4  7   4.2  954 247  3.9 7  4.4  81    0    0 304 -337  3
 1  4  8   4.2  955 224  4.8 8  4.4  81    0    0 312 -337  3
 1  4  9   4.6  955 242  5.5 8  4.6  84    0    5 320 -337  3
 1  4 10   5.1  956 228  3.5 8  4.9  87    2   56 323 -339  3
 1  4 11   4.8  956 206  3.4 8  5.3  93    0   51 325 -343  3
 1  4 12   5.0  956 189  3.8 8  5.6  99    0   53 327 -347  3
 1  4 13   5.8  957 195  3.5 8  5.8  98    0   59 330 -349  3
 1  4 14   5.7  957 220  3.6 7  6.0  98    0   71 324 -350  3
 1  4 15   7.3  956 218  2.7 7  6.3  98    1   74 321 -352  3
 1  4 16   8.0  956 246  3.4 8  6.6  95    2   43 331 -352  3
 1  4 17   8.1  956 254  3.8 7  6.6  92    0    6 331 -351  3
 1  4 18   6.1  956 243  4.3 6  6.3  95    0    0 313 -351  3
 1  4 19   8.5  957 227  3.8 6  6.2  91    0    0 304 -350  3
 1  4 20   9.0  957 217  3.1 7  6.1  81    0    0 314 -350  3
 1  4 21   9.0  958 244  3.8 7  6.1  81    0    0 322 -349  3
 1  4 22   8.4  958 225  3.4 7  6.1  82    0    0 320 -347  3
 1  4 23   8.1  958 228  3.5 7  6.1  85    0    0 319 -347  3
 1  4 24   8.2  958 241  4.3 6  6.1  86    0    0 310 -347  3
 1  5  1   7.2  959 232  4.2 6  6.0  87    0    0 299 -347  3
 1  5  2   6.1  959 217  3.4 6  5.8  90    0    0 295 -347  3
 1  5  3   7.5  959 194  3.6 8  5.6  87    0    0 312 -347  3
 1  5  4   7.4  960 196  2.9 7  5.6  82    0    0 321 -346  3
 1  5  5   5.8  960 207  3.2 6  5.6  87    0    0 301 -344  3
 1  5  6   5.6  959 176  2.6 6  5.5  91    0    0 291 -343  3
 1  5  7   4.9  959 171  3.0 3  5.3  91    0    0 267 -342  3
 1  5  8   5.4  960 215  2.5 2  5.3  91    0    0 237 -341  3
 1  5  9   4.3  960 188  2.9 2  5.2  91    7   15 234 -339  3
 1  5 10   6.0  960 147  2.5 6  5.2  89   30   66 263 -340  3
 1  5 11   7.2  961 158  2.4 6  5.5  85   50  116 293 -345  3
 1  5 12   8.1  961 173  2.6 6  5.7  83  117  135 295 -352  3
 1  5 13  10.1  960 160  2.8 6  6.0  78  140  136 298 -358  3
 1  5 14  11.3  960 155  2.8 5  6.2  73  140  119 296 -362  3
 1  5 15  11.9  959 138  2.2 4  6.3  71  102   91 288 -362  3
 1  5 16  10.3  959 144  1.9 5  6.3  72   35   51 287 -357  3
 1  5 17   9.7  959 143  1.9 5  6.1  75    0    9 287 -350  3
 1  5 18   7.1  959 131  2.1 5  5.7  78    0    0 281 -345  3
 1  5 19   5.5  959 148  2.1 4  5.3  85    0    0 269 -342  3
 1  5 20   3.9  958 193  1.2 4  5.0  89    0    0 260 -340  3
 1  5 21   3.5  959 176  1.9 3  4.8  92    0    0 253 -338  3
 1  5 22   3.4  959 182  2.2 4  4.8  93    0    0 251 -337  3
 1  5 23   2.3  959 201  2.2 4  4.6  94    0    0 251 -335  3
 1  5 24   2.9  960 213  1.9 2  4.4  92    0    0 242 -334  3
 1  6  1   2.4  960 224  2.7 1  4.4  90    0    0 233 -334  3
 1  6  2   1.5  959 194  2.7 0  4.2  91    0    0 224 -333  3
 1  6  3   2.2  959 186  3.5 1  4.1  90    0    0 225 -332  3
 1  6  4   1.5  959 240  2.7 1  4.1  88    0    0 229 -332  3
 1  6  5   1.6  959 108  2.5 0  3.9  86    0    0 225 -331  3
