MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   3.6 1002 213  6.5 8  4.9  97    0    0 333 -340  4
 1  1  2   4.8 1002 205  5.9 8  5.3  98    0    0 334 -340  4
 1  1  3   5.7 1002 196  5.4 8  5.7  99    0    0 335 -340  4
 1  1  4   5.8 1002 197  5.1 8  5.7  98    0    0 335 -340  4
 1  1  5   5.8 1002 196  4.7 8  5.7  98    0    0 336 -341  4
 1  1  6   5.9 1002 197  4.5 8  5.7  98    0    0 336 -341  4
 1  1  7   6.0 1002 194  4.2 8  5.8  99    0    0 336 -341  4
 1  1  8   6.4 1002 211  3.1 7  5.9  99    0    0 329 -341  4
 1  1  9   6.1 1002 199  4.1 7  5.9  99    0    3 321 -341  4
 1  1 10   6.5 1003 221  3.0 8  5.9  99    1   38 327 -341  4
 1  1 11   7.0 1003 199  3.9 6  6.0  97    1   65 323 -343  4
 1  1 12   7.5 1003 258  5.2 4  6.0  94    7   99 301 -346  4
 1  1 13   8.4 1002 193  5.2 2  6.0  90  111  131 278 -350  4
 1  1 14   7.5 1002 194  4.7 2  5.9  88  127  113 263 -354  4
 1  1 15   8.1 1001 214  5.9 5  5.8  88   46   98 280 -354  4
 1  1 16   7.1 1000 226  5.3 6  5.9  90   24   51 303 -352  4
 1  1 17   6.1 1000 204  5.2 5  5.9  95    1   10 300 -349  4
 1  1 18   6.3 1000 207  5.0 6  5.7  96    0    0 298 -347  4
 1  1 19   6.5 1000 203  6.3 6  5.8  95    0    0 306 -347  4
 1  1 20   6.7  999 208  7.0 6  5.9  96    0    0 307 -347  4
 1  1 21   7.3  998 200  8.4 8  6.1  96    0    0 323 -347  4
 1  1 22   7.6  997 202  7.9 8  6.2  95    0    0 341 -348  4
 1  1 23   8.3  997 205  8.4 8  6.3  93    0    0 342 -350  4
 1  1 24   8.1  997 211  9.7 8  6.3  91    0    0 343 -350  4
 1  2  1   8.4  996 208  9.9 7  6.4  92    0    0 336 -350  4
 1  2  2   8.3  995 200  9.2 6  6.6  95    0    0 322 -350  4
 1  2  3   8.2  994 203  8.9 6  6.7  97    0    0 314 -351  4
 1  2  4   8.3  994 212  7.4 8  6.7  97    0    0 328 -353  4
 1  2  5   8.8  994 211  8.4 8  6.8  97    0    0 343 -356  4
 1  2  6   7.9  994 240  9.8 8  6.7  96    0    0 340 -358  4
 1  2  7   7.6  995 235  7.2 8  6.2  93    0    0 335 -358  4
 1  2  8   7.2  995 240  6.6 6  5.7  87    0    0 319 -355  4
 1  2  9   6.7  996 245  7.2 6  5.5  86    2    9 304 -350  4
 1  2 10   7.0  997 251  7.2 7  5.3  85    6   45 308 -346  4
 1  2 11   6.4  998 223  7.3 6  5.2  84    0   48 305 -345  4
 1  2 12   6.4  999 256  8.5 7  4.9  81    0   71 302 -344  4
 1  2 13   6.0  999 244  7.6 6  4.5  75    0   59 299 -344  4
 1  2 14   6.1  999 248  7.8 5  4.2  71   13   98 286 -345  4
 1  2 15   6.0 1000 242  7.5 5  4.0  68    9   77 278 -341  4
 1  2 16   5.3 1000 239  7.7 4  3.7  65   50   45 270 -335  4
 1  2 17   4.4 1001 255  7.4 3  3.5  65    3   10 257 -328  4
 1  2 18   3.6 1002 243  6.2 3  3.6  70    0    0 249 -322  4
 1  2 19   3.2 1003 245  6.6 2  3.7  76    0    0 241 -319  4
 1  2 20   3.2 1004 249  6.8 2  3.8  79    0    0 235 -319  4
 1  2 21   2.9 1004 252  6.9 0  3.9  82    0    0 226 -318  4
 1  2 22   3.2 1005 253  7.5 0  3.9  82    0    0 217 -318  4
 1  2 23   2.6 1005 255  6.5 0  3.9  83    0    0 217 -317  4
 1  2 24   2.5 1006 255  5.6 1  4.0  86    0    0 222 -316  4
 1  3  1   3.1 1006 255  6.9 7  4.1  88    0    0 254 -316  4
 1  3  2   3.1 1007 250  7.1 8  4.3  89    0    0 287 -316  4
 1  3  3   2.6 1007 246  7.5 8  4.3  93    0    0 295 -317  4
 1  3  4   2.7 1007 245  7.6 8  4.3  94    0    0 297 -317  4
 1  3  5   2.7 1008 244  7.4 7  4.3  93    0    0 295 -318  4
 1  3  6   2.6 1008 238  7.7 8  4.3  93    0    0 296 -318  4
 1  3  7   2.7 1008 252  8.2 6  4.3  94    0    0 292 -319  4
 1  3  8   3.0 1009 234  7.8 6  4.3  92    0    0 283 -319  4
 1  3  9   3.1 1009 244  8.1 5  4.2  90    0    4 279 -319  4
 1  3 10   3.7 1010 246  8.3 4  4.2  87   10   43 270 -319  4
 1  3 11   4.5 1010 248  8.6 4  4.2  82   79   73 268 -322  4
 1  3 12   4.8 1010 256  9.8 5  4.2  79   33  105 275 -327  4
 1  3 13   5.0 1010 247 10.3 5  4.3  80   60  115 282 -332  4
 1  3 14   4.6 1010 254  7.6 6  4.4  82    2   84 288 -334  4
 1  3 15   5.1 1010 267  8.9 7  4.3  81    0   45 299 -335  4
 1  3 16   4.9 1010 238  8.8 8  4.4  80    0   14 311 -334  4
 1  3 17   4.9 1010 234  8.4 8  4.4  82    0    2 318 -331  4
 1  3 18   5.0 1010 259  7.7 7  4.5  84    0    0 315 -330  4
 1  3 19   4.8 1010 229  8.5 8  4.6  85    0    0 317 -330  4
 1  3 20   4.8 1011 230  7.8 7  4.6  86    0    0 318 -331  4
 1  3 21   4.6 1010 248  8.1 6  4.7  88    0    0 307 -332  4
 1  3 22   4.5 1011 226  7.4 8  4.7  90    0    0 314 -333  4
 1  3 23   4.6 1011 219  7.5 8  4.8  90    0    0 324 -334  4
 1  3 24   4.3 1010 217  8.0 7  4.9  94    0    0 317 -334  4
 1  4  1   4.3 1010 216  8.0 8  5.0  96    0    0 316 -335  4
 1  4  2   4.3 1010 222  7.5 7  5.0  97    0    0 315 -335  4
 1  4  3   4.4 1010 217  7.6 6  5.1  97    0    0 304 -333  4
 1  4  4   4.4 1010 224  7.8 5  5.0  96    0    0 292 -332  4
 1  4  5   4.3 1009 221  7.1 6  4.9  94    0    0 290 -333  4
 1  4  6   4.4 1009 217  7.8 8  4.9  94    0    0 304 -333  4
 1  4  7   4.5 1008 214  7.9 8  4.9  93    0    0 314 -333  4
