MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -0.3 1003 217  6.6 5  3.3  88    0    0 292 -295  2
 1  1  2   0.0 1003 238  7.5 7  3.4  88    0    0 292 -296  2
 1  1  3   0.3 1002 252  8.3 8  3.5  88    0    0 292 -296  2
 1  1  4   0.2 1002 251  8.8 8  3.4  87    0    0 289 -294  2
 1  1  5   0.2 1001 251  9.3 8  3.4  86    0    0 288 -291  2
 1  1  6   0.3 1000 254 10.1 8  3.3  85    0    0 287 -292  2
 1  1  7   0.2 1000 252 10.4 8  3.3  83    0    0 287 -296  2
 1  1  8   0.1  999 241 10.5 8  3.3  84    0    0 289 -298  2
 1  1  9   0.1  998 243 10.8 8  3.3  86    2    8 291 -300  2
 1  1 10   0.6  998 243 11.2 8  3.5  88   13   31 293 -302  2
 1  1 11   0.9  997 250 10.6 7  3.6  88    0   45 290 -305  2
 1  1 12   1.0  997 254 10.3 7  3.7  90    0   44 286 -308  2
 1  1 13   1.4  997 260  9.7 8  3.8  91    0   33 292 -311  2
 1  1 14   1.7  996 254 10.2 6  3.9  91    0   59 288 -313  2
 1  1 15   1.8  996 260  9.8 6  3.9  89    2   51 276 -314  2
 1  1 16   1.9  997 262  8.7 7  3.9  88    0    2 283 -314  2
 1  1 17   1.5  997 274  7.4 7  3.8  88    0    0 289 -312  2
 1  1 18   1.5  998 267  7.4 7  3.8  88    0    0 289 -312  2
 1  1 19   1.4  998 261  7.5 8  3.7  87    0    0 296 -311  2
 1  1 20   1.2  998 262  7.9 8  3.7  88    0    0 301 -310  2
 1  1 21   1.3  998 259  7.4 8  3.7  88    0    0 300 -309  2
 1  1 22   1.2  998 261  6.8 8  3.6  86    0    0 299 -307  2
 1  1 23   1.3  999 262  6.7 7  3.6  86    0    0 293 -305  2
 1  1 24   1.0  999 263  6.8 7  3.6  85    0    0 285 -304  2
 1  2  1   1.0  999 263  6.6 8  3.5  86    0    0 288 -302  2
 1  2  2   1.0  998 265  6.6 8  3.5  85    0    0 291 -300  2
 1  2  3   1.0  999 265  6.6 8  3.4  82    0    0 289 -300  2
 1  2  4   0.9  999 271  6.7 8  3.2  78    0    0 287 -299  2
 1  2  5   0.6  999 262  6.6 8  3.2  79    0    0 286 -298  2
 1  2  6   0.5  999 259  6.6 8  3.3  84    0    0 284 -297  2
 1  2  7  -0.1  999 259  6.1 8  3.4  87    0    0 282 -297  2
 1  2  8   0.0  999 259  6.1 8  3.5  91    0    0 282 -296  2
 1  2  9   0.1 1000 262  6.4 8  3.5  92    0    7 281 -296  2
 1  2 10   0.3 1000 271  6.5 7  3.5  90   28   43 276 -296  2
 1  2 11   0.7 1000 277  5.9 6  3.5  88   40   81 267 -296  2
 1  2 12   1.0 1001 267  6.1 6  3.4  84   16  100 263 -298  2
 1  2 13   1.2 1001 267  6.3 6  3.4  82    5   93 264 -299  2
 1  2 14   1.1 1001 270  6.3 8  3.5  83    0   56 275 -301  2
 1  2 15   1.0 1001 268  6.8 8  3.5  84    0   34 285 -303  2
 1  2 16   0.5 1001 263  6.1 6  3.4  84    0   10 275 -304  2
 1  2 17  -0.3 1002 275  6.0 5  3.3  85    0    0 259 -304  2
 1  2 18  -2.4 1002 265  5.1 3  3.0  88    0    0 242 -305  2
 1  2 19  -2.7 1001 266  3.9 4  2.9  90    0    0 233 -304  2
 1  2 20  -1.9 1002 271  4.0 5  2.9  91    0    0 243 -304  2
 1  2 21  -2.9 1002 246  4.0 5  3.0  92    0    0 248 -303  2
 1  2 22  -3.8 1002 244  3.6 5  2.8  94    0    0 244 -303  2
 1  2 23  -3.6 1002 235  3.1 6  2.8  96    0    0 247 -303  2
 1  2 24  -2.7 1002 245  3.2 6  2.9  97    0    0 253 -303  2
 1  3  1  -1.9 1002 258  4.1 7  3.2  98    0    0 260 -303  2
 1  3  2  -1.4 1003 268  4.2 7  3.4  99    0    0 266 -303  2
 1  3  3  -2.0 1003 268  4.4 6  3.3  99    0    0 261 -303  2
 1  3  4  -1.0 1004 266  4.2 7  3.3  96    0    0 261 -302  2
 1  3  5  -0.7 1004 281  4.3 8  3.3  91    0    0 271 -302  2
 1  3  6  -1.2 1004 271  3.9 8  3.2  90    0    0 274 -300  2
