MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   2.2  963 254  3.7 5  4.6  93    0    0 320 -327  2
 1  1  2   4.0  963 280  3.8 6  5.3  96    0    0 313 -327  2
 1  1  3   5.4  964 292  3.9 6  5.7  98    0    0 307 -327  2
 1  1  4   5.2  964 291  3.6 6  5.6  97    0    0 307 -327  2
 1  1  5   4.9  964 287  3.3 7  5.5  96    0    0 314 -327  2
 1  1  6   4.5  964 279  3.0 6  5.3  95    0    0 313 -326  2
 1  1  7   4.2  964 274  2.4 8  5.1  94    0    0 316 -325  2
 1  1  8   3.7  964 244  2.3 8  5.0  95    0    0 325 -324  2
 1  1  9   3.9  964 222  2.0 8  5.0  96    0    1 322 -323  2
 1  1 10   3.8  964 240  2.6 7  5.0  95    0   24 316 -323  2
 1  1 11   4.4  964 239  3.8 6  5.1  95    0   48 303 -324  2
 1  1 12   4.8  965 252  4.3 8  5.2  94    0   49 311 -326  2
 1  1 13   5.1  964 243  4.6 8  5.3  93    0   47 323 -329  2
 1  1 14   4.9  963 252  5.0 8  5.2  92    0   48 322 -332  2
 1  1 15   4.6  962 241  4.8 8  5.2  92    0   45 319 -330  2
 1  1 16   4.7  962 237  5.0 7  5.1  92   15   22 310 -327  2
 1  1 17   4.6  961 229  5.0 8  5.1  91    0    6 309 -325  2
 1  1 18   4.4  960 223  6.7 7  5.1  92    0    0 308 -325  2
 1  1 19   4.7  959 244  7.4 8  5.1  93    0    0 311 -326  2
 1  1 20   5.0  959 244  7.7 8  5.3  93    0    0 321 -329  2
 1  1 21   5.0  958 250  6.8 8  5.3  93    0    0 323 -331  2
 1  1 22   5.7  957 234  6.4 8  5.6  95    0    0 328 -333  2
 1  1 23   6.3  956 241  7.6 8  5.9  96    0    0 332 -335  2
 1  1 24   7.0  956 243 10.5 8  6.2  96    0    0 336 -337  2
 1  2  1   7.6  955 256 10.9 7  6.5  96    0    0 332 -341  2
 1  2  2   7.8  954 263 10.8 7  6.4  92    0    0 327 -344  2
 1  2  3   6.0  954 296  8.7 6  5.8  88    0    0 317 -345  2
 1  2  4   4.8  954 294  8.6 5  5.0  84    0    0 297 -342  2
 1  2  5   4.4  955 280  6.7 6  4.7  83    0    0 294 -337  2
 1  2  6   3.9  956 284  8.1 6  4.5  83    0    0 299 -333  2
 1  2  7   2.8  956 277  7.8 8  4.3  84    0    0 306 -330  2
 1  2  8   2.7  957 286  8.0 8  4.1  84    0    0 311 -327  2
 1  2  9   2.0  957 280  8.4 8  3.9  82    0    1 304 -324  2
 1  2 10   1.8  958 284  8.5 7  3.7  81    6   39 294 -322  2
 1  2 11   1.8  959 284  7.1 6  3.7  80   10   74 280 -320  2
 1  2 12   1.6  960 282  7.9 4  3.6  79   61  114 263 -319  2
 1  2 13   2.2  961 285  7.6 3  3.5  76   34  117 247 -319  2
 1  2 14   2.5  961 279  7.3 3  3.4  72   29   99 243 -320  2
 1  2 15   1.9  961 285  6.8 5  3.4  72    7   67 252 -320  2
 1  2 16   1.7  962 284  6.7 7  3.4  74    5   36 269 -319  2
 1  2 17   1.4  962 277  6.1 6  3.3  75    0    4 272 -318  2
 1  2 18   0.6  963 267  6.1 6  3.4  79    0    0 263 -318  2
 1  2 19   0.8  964 273  6.3 6  3.4  81    0    0 262 -317  2
 1  2 20   0.6  965 270  6.1 6  3.4  81    0    0 262 -315  2
 1  2 21   0.4  965 270  5.9 4  3.5  84    0    0 251 -315  2
 1  2 22   0.8  965 268  5.6 7  3.5  85    0    0 257 -315  2
 1  2 23   1.1  966 272  6.3 7  3.6  84    0    0 272 -315  2
 1  2 24   1.0  966 275  6.4 3  3.6  85    0    0 256 -316  2
 1  3  1   1.3  966 276  6.9 7  3.7  86    0    0 258 -316  2
 1  3  2   1.1  967 276  6.5 7  3.7  85    0    0 276 -316  2
 1  3  3   1.3  967 280  6.6 3  3.7  86    0    0 259 -316  2
 1  3  4   1.3  968 285  7.0 2  3.8  86    0    0 235 -316  2
 1  3  5   1.4  968 292  7.3 5  3.7  86    0    0 246 -316  2
 1  3  6   1.6  968 290  7.4 6  3.8  85    0    0 267 -316  2
 1  3  7   1.3  968 293  7.4 6  3.8  85    0    0 273 -317  2
 1  3  8   0.8  968 284  6.4 7  3.7  87    0    0 278 -317  2
 1  3  9   0.5  968 270  5.5 6  3.8  90    0    1 279 -317  2
 1  3 10   1.1  969 264  5.6 4  3.8  90   24   40 264 -317  2
 1  3 11   1.5  969 257  5.8 3  3.9  88   59   78 251 -318  2
 1  3 12   1.8  970 268  6.4 6  3.9  88    2   79 265 -318  2
 1  3 13   1.8  970 260  5.9 7  4.1  90    0   62 289 -318  2
 1  3 14   2.0  970 259  5.5 8  4.2  92    0   43 301 -319  2
 1  3 15   2.0  971 248  5.5 8  4.3  94    0   29 307 -321  2
 1  3 16   2.5  970 246  5.6 8  4.4  95    0   15 308 -322  2
 1  3 17   3.3  970 251  5.6 7  4.5  93    0    2 307 -322  2
 1  3 18   2.7  970 250  5.7 8  4.6  94    0    0 309 -322  2
 1  3 19   2.8  970 260  5.8 8  4.6  96    0    0 317 -323  2
 1  3 20   3.0  971 259  6.2 8  4.7  96    0    0 320 -323  2
 1  3 21   3.4  971 263  5.9 8  4.7  95    0    0 322 -325  2
 1  3 22   3.3  970 254  6.2 8  4.8  95    0    0 324 -327  2
 1  3 23   3.8  970 260  6.0 7  4.8  94    0    0 317 -328  2
 1  3 24   3.7  970 266  6.7 8  4.8  92    0    0 317 -328  2
 1  4  1   4.0  970 263  6.0 8  4.9  93    0    0 321 -327  2
 1  4  2   3.9  970 262  6.3 8  4.9  94    0    0 319 -326  2
 1  4  3   4.1  969 258  5.3 7  4.9  93    0    0 312 -325  2
 1  4  4   4.0  969 254  5.4 7  4.9  92    0    0 304 -323  2
 1  4  5   4.3  969 254  6.1 8  4.9  92    0    0 307 -322  2
 1  4  6   4.2  968 261  6.8 8  4.9  91    0    0 312 -321  2
 1  4  7   4.4  968 259  7.0 7  4.7  87    0    0 307 -320  2
 1  4  8   3.9  968 263  7.8 7  4.6  86    0    0 300 -319  2
 1  4  9   3.4  967 263  8.4 7  4.5  86    0    1 298 -318  2
 1  4 10   2.8  967 256  9.3 5  4.3  87    2   33 285 -318  2
 1  4 11   2.5  967 259  9.6 5  4.2  87   17   71 271 -318  2
 1  4 12   2.5  967 265  9.2 5  4.1  87   42   94 268 -318  2
 1  4 13   3.0  967 259  8.6 4  4.1  85  108   96 261 -319  2
 1  4 14   3.2  967 256  8.7 4  4.2  84  111   84 255 -322  2
 1  4 15   2.7  966 253  8.1 4  4.1  84  106   57 253 -323  2
 1  4 16   2.3  966 254  8.3 4  4.0  84   42   35 250 -321  2
 1  4 17   1.6  966 251  7.7 5  3.9  85    3    8 253 -318  2
 1  4 18   1.3  966 250  6.8 6  3.8  86    0    0 260 -317  2
 1  4 19   0.7  966 245  6.3 6  3.7  87    0    0 263 -315  2
 1  4 20   0.9  965 243  5.6 6  3.7  88    0    0 265 -313  2
 1  4 21   1.1  965 248  5.7 6  3.8  88    0    0 271 -312  2
 1  4 22   1.3  965 246  5.7 7  3.8  88    0    0 279 -314  2
 1  4 23   1.3  965 236  5.7 7  3.9  89    0    0 289 -315  2
 1  4 24   1.3  965 240  5.0 7  3.9  90    0    0 292 -317  2
 1  5  1   1.3  965 246  5.9 7  4.0  91    0    0 295 -317  2
 1  5  2   1.3  965 251  6.0 7  4.0  92    0    0 296 -318  2
 1  5  3   1.4  965 248  5.7 8  4.1  94    0    0 305 -318  2
 1  5  4   1.8  965 245  5.6 7  4.2  94    0    0 306 -318  2
 1  5  5   1.8  965 243  5.4 6  4.3  94    0    0 293 -318  2
 1  5  6   1.5  965 238  5.1 6  4.3  96    0    0 286 -318  2
 1  5  7   1.8  965 237  4.7 7  4.3  96    0    0 290 -318  2
 1  5  8   1.6  965 232  4.2 8  4.3  95    0    0 301 -318  2
 1  5  9   1.3  966 249  5.5 8  4.3  96    0    0 304 -318  2
 1  5 10   1.7  966 248  5.0 8  4.3  96    0    9 304 -318  2
 1  5 11   1.8  966 237  5.1 8  4.3  95    0   28 302 -318  2
 1  5 12   1.8  966 237  5.0 8  4.3  95    0   37 300 -319  2
 1  5 13   2.6  966 227  5.2 8  4.4  94    0   47 301 -321  2
 1  5 14   2.7  965 234  5.2 8  4.4  92    0   41 303 -323  2
 1  5 15   2.4  964 227  4.5 8  4.5  94    0   25 304 -322  2
