MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   2.5  925 210  5.3 5  4.7  92    0    0 308 -318  2
 1  1  2   3.5  925 226  6.1 6  5.1  96    0    0 316 -319  2
 1  1  3   4.4  925 238  6.8 8  5.6  99    0    0 323 -322  2
 1  1  4   4.7  926 239  6.8 8  5.7  99    0    0 324 -325  2
 1  1  5   4.9  926 240  6.8 8  5.8  98    0    0 327 -325  2
 1  1  6   5.3  927 239  6.8 8  5.9  97    0    0 329 -325  2
 1  1  7   5.1  927 246  6.8 7  5.9  98    0    0 322 -325  2
 1  1  8   5.7  927 241  8.0 7  5.9  97    0    0 312 -325  2
 1  1  9   6.1  928 240  6.2 7  6.1  96    4   21 312 -326  2
 1  1 10   7.0  928 249  6.8 7  6.2  94   23   78 313 -327  2
 1  1 11   6.1  928 239  7.3 6  6.2  94   11  106 301 -328  2
 1  1 12   7.6  928 247  6.8 5  6.3  94   17  140 281 -330  2
 1  1 13   7.7  928 245  6.4 6  6.3  88   24  154 284 -330  2
 1  1 14   8.4  927 240  7.9 6  6.1  83   16  133 297 -331  2
 1  1 15   7.8  927 240  6.4 6  5.9  80   14  104 298 -332  2
 1  1 16   7.3  927 237  5.9 5  5.8  82   15   57 290 -333  2
 1  1 17   6.5  927 229  5.5 4  5.7  85    0    4 271 -333  2
 1  1 18   3.7  926 241  4.8 4  5.5  92    0    0 255 -332  2
 1  1 19   3.3  926 213  5.0 4  5.3  99    0    0 249 -331  2
 1  1 20   3.0  926 204  4.5 5  5.2 100    0    0 254 -331  2
 1  1 21   3.8  926 215  5.1 5  5.2  97    0    0 260 -331  2
 1  1 22   3.6  926 212  4.3 4  5.1  94    0    0 249 -328  2
 1  1 23   3.3  926 219  4.1 4  5.0  94    0    0 239 -326  2
 1  1 24   3.7  925 214  4.0 6  4.9  92    0    0 257 -326  2
 1  2  1   5.0  925 202  3.7 6  4.9  86    0    0 274 -326  2
 1  2  2   5.2  925 201  3.0 6  4.9  82    0    0 277 -326  2
 1  2  3   4.7  924 188  2.7 7  4.9  83    0    0 286 -325  2
 1  2  4   4.5  924 184  4.0 8  4.9  84    0    0 300 -325  2
 1  2  5   4.9  924 200  3.7 8  4.9  84    0    0 308 -326  2
 1  2  6   3.2  922 199  4.4 7  4.8  87    0    0 300 -328  2
 1  2  7   3.1  921 206  4.3 7  4.8  92    0    0 289 -329  2
 1  2  8   4.4  921 204  4.2 7  4.8  89    0    0 289 -329  2
 1  2  9   4.2  921 205  3.6 7  4.8  85    0   15 290 -330  2
 1  2 10   4.9  921 196  3.1 6  4.8  84    6   65 278 -333  2
 1  2 11   6.4  921 213  2.8 6  5.0  80   23  122 272 -335  2
 1  2 12   7.0  922 204  3.6 8  5.0  75    2  106 302 -338  2
 1  2 13   8.6  921 214  4.7 8  5.1  71    1  108 326 -341  2
 1  2 14   7.5  921 256  6.4 7  5.4  74    0   77 318 -342  2
 1  2 15   6.7  921 253  9.1 8  5.6  81    0   54 317 -341  2
 1  2 16   4.8  922 236  9.7 7  5.5  88    1   42 314 -338  2
 1  2 17   4.3  923 245  6.6 7  5.3  92    0    5 305 -335  2
 1  2 18   3.7  924 233  6.4 7  5.1  92    0    0 304 -332  2
 1  2 19   3.1  925 226  6.5 7  4.9  93    0    0 301 -328  2
 1  2 20   2.0  926 234  5.6 7  4.8  96    0    0 297 -324  2
 1  2 21   2.5  926 230  5.8 8  4.7  96    0    0 300 -323  2
 1  2 22   2.3  927 230  5.2 8  4.7  95    0    0 304 -322  2
 1  2 23   2.3  927 236  5.8 7  4.7  96    0    0 299 -321  2
 1  2 24   2.7  928 253  5.0 7  4.7  94    0    0 294 -321  2
 1  3  1   2.8  929 248  6.0 6  4.6  92    0    0 288 -319  2
 1  3  2   2.7  930 261  5.3 6  4.6  91    0    0 282 -318  2
 1  3  3   2.4  931 237  5.4 6  4.5  91    0    0 278 -318  2
 1  3  4   1.6  932 224  5.2 5  4.4  92    0    0 271 -318  2
 1  3  5   1.8  933 256  4.8 4  4.3  93    0    0 260 -318  2
 1  3  6   2.0  934 246  5.5 5  4.3  90    0    0 260 -318  2
 1  3  7   1.7  934 234  6.0 5  4.1  88    0    0 264 -318  2
 1  3  8   1.1  933 246  6.6 5  4.0  88    0    0 263 -317  2
 1  3  9   0.9  933 246  6.5 4  3.9  88   21   16 257 -315  2
 1  3 10   2.3  933 227  5.8 3  3.9  84  105   40 247 -314  2
 1  3 11   3.2  934 226  6.0 2  4.0  79  191   58 241 -314  2
 1  3 12   4.2  933 230  5.5 2  4.0  74  245   66 239 -316  2
 1  3 13   5.1  932 228  5.4 1  3.9  68  259   68 237 -317  2
 1  3 14   5.3  931 230  6.4 1  3.8  64  230   66 233 -319  2
 1  3 15   5.4  930 227  7.0 1  3.7  62  157   60 235 -322  2
 1  3 16   4.1  929 221  6.7 3  3.6  61   67   41 243 -322  2
 1  3 17   3.1  929 224  6.6 4  3.4  63    0   10 253 -322  2
 1  3 18   3.7  928 237  7.2 4  3.2  60    0    0 254 -322  2
 1  3 19   2.9  927 240  7.8 5  3.1  58    0    0 256 -323  2
 1  3 20   3.7  927 245  9.6 6  3.1  59    0    0 268 -325  2
 1  3 21   3.9  927 250 11.8 6  3.4  62    0    0 276 -327  2
 1  3 22   3.5  926 230 11.5 4  3.6  68    0    0 264 -328  2
 1  3 23   4.2  926 231 12.5 3  3.7  67    0    0 242 -329  2
 1  3 24   6.2  926 231 11.1 5  3.7  62    0    0 254 -331  2
 1  4  1   5.9  925 229  9.2 6  3.7  59    0    0 278 -333  2
 1  4  2   5.8  924 229  7.6 6  3.7  59    0    0 285 -334  2
 1  4  3   4.9  923 224  6.8 7  3.8  63    0    0 291 -334  2
 1  4  4   4.1  923 227  7.8 6  4.0  69    0    0 289 -333  2
 1  4  5   5.6  922 248 10.8 6  4.3  74    0    0 285 -333  2
 1  4  6   4.9  922 243 10.3 6  4.9  80    0    0 288 -333  2
 1  4  7   4.3  923 257  8.4 8  5.1  89    0    0 298 -332  2
 1  4  8   2.1  923 282  7.4 8  4.9  93    0    0 304 -331  2
 1  4  9   1.5  924 239  8.9 6  4.5  95    0    2 288 -324  2
 1  4 10   1.8  925 242  9.4 7  4.5  96    0   40 283 -318  2
 1  4 11   2.1  927 241 10.1 3  4.6  95  146   29 268 -319  2
 1  4 12   2.4  928 263  9.2 5  4.5  93   64   95 257 -321  2
 1  4 13   1.9  928 260  9.3 6  4.4  90   13  111 268 -323  2
 1  4 14   1.9  929 256  9.1 7  4.3  91   22  103 275 -323  2
 1  4 15   1.2  929 268  8.0 7  4.2  90    0   50 279 -322  2
 1  4 16   1.2  930 261  6.9 6  3.8  85   43   25 271 -321  2
 1  4 17   0.7  931 235  7.3 5  3.7  85    0    8 258 -319  2
 1  4 18   0.4  931 239  8.0 5  3.7  87    0    0 252 -318  2
 1  4 19   0.5  931 243  8.3 4  3.7  86    0    0 248 -318  2
 1  4 20   0.7  931 241  8.7 3  3.6  84    0    0 239 -318  2
 1  4 21   0.5  931 242  9.5 3  3.6  83    0    0 235 -317  2
 1  4 22   1.0  931 237 10.1 5  3.5  80    0    0 246 -316  2
 1  4 23   1.0  930 236  8.9 7  3.4  77    0    0 268 -316  2
 1  4 24   0.6  929 218  8.7 7  3.4  77    0    0 277 -317  2
 1  5  1   0.9  927 228  9.3 7  3.3  76    0    0 276 -317  2
 1  5  2   1.9  925 223 11.3 7  3.1  68    0    0 277 -318  2
 1  5  3   1.9  924 223 10.3 7  3.0  63    0    0 280 -318  2
 1  5  4   1.8  922 234 11.3 8  3.1  64    0    0 288 -318  2
 1  5  5   1.8  920 235 13.7 8  3.1  66    0    0 296 -318  2
 1  5  6   3.3  917 241 13.8 8  3.1  62    0    0 299 -318  2
 1  5  7   3.7  917 240 14.6 8  3.2  59    0    0 303 -318  2
 1  5  8   2.6  915 240 14.5 7  3.7  71    0    0 299 -318  2
 1  5  9   2.2  914 235 14.3 7  4.2  85    0    9 294 -318  2
 1  5 10   2.5  913 236 15.0 7  4.4  89    0   29 294 -318  2
 1  5 11   2.4  912 239 14.4 8  4.6  91    0   39 301 -318  2
 1  5 12   2.9  910 241 13.7 7  4.7  92    0   52 303 -318  2
 1  5 13   2.8  908 237 14.2 7  4.7  91    0   68 299 -318  2
 1  5 14   3.1  907 240 14.6 8  4.8  91    0   54 306 -318  2
 1  5 15   3.7  905 239 14.5 8  4.8  90    0   51 314 -320  2
 1  5 16   3.9  903 260 14.2 6  4.9  88    0   14 304 -322  2
 1  5 17  -0.4  906 287  9.4 5  4.5  94    0    0 282 -321  2
 1  5 18   0.1  907 244  7.2 8  4.2 100    0    0 284 -320  2
 1  5 19   0.5  908 244  9.2 8  4.3  98    0    0 301 -320  2
 1  5 20   0.5  909 240  8.5 7  4.3  97    0    0 294 -319  2
 1  5 21   0.4  910 260  9.7 6  4.3  98    0    0 282 -318  2
 1  5 22   0.8  910 245  8.0 6  4.3  96    0    0 276 -318  2
 1  5 23  -0.2  910 255  8.5 7  4.2  98    0    0 281 -316  2
 1  5 24   0.6  910 251  7.6 6  4.1  96    0    0 280 -315  2
 1  6  1   0.4  911 276  8.5 8  4.1  94    0    0 286 -314  2
 1  6  2  -0.8  911 311  8.6 8  4.1  98    0    0 295 -313  2
 1  6  3  -1.1  912 284  8.7 7  3.9  98    0    0 286 -312  2
 1  6  4  -0.7  914 275  8.6 7  3.7  95    0    0 280 -311  2
 1  6  5  -1.2  914 276  7.7 7  3.7  94    0    0 278 -310  2
 1  6  6  -1.1  916 286  8.1 8  3.6  94    0    0 282 -309  2
 1  6  7  -0.9  917 278  8.3 8  3.6  92    0    0 288 -308  2
 1  6  8  -0.6  917 277  8.1 8  3.6  90    0    0 289 -307  2
 1  6  9  -0.7  918 292  7.8 8  3.6  90   13   15 288 -307  2
 1  6 10  -0.3  919 277  8.0 7  3.6  89   16   58 284 -307  2
 1  6 11  -0.5  920 296  7.9 8  3.6  88    0   63 284 -308  2
 1  6 12  -0.1  921 280  8.2 7  3.7  90    1   92 286 -309  2
 1  6 13  -0.1  922 299  7.1 8  3.8  91    0   45 287 -310  2
 1  6 14   0.0  923 314  7.2 7  3.9  93    0   59 287 -311  2
 1  6 15  -0.1  924 292  6.5 5  3.9  95    2   69 270 -311  2
 1  6 16   0.2  925 296  6.6 6  4.0  95   10   43 263 -310  2
 1  6 17   0.3  926 275  6.6 7  4.0  94    0    0 271 -309  2
 1  6 18   0.3  928 284  6.6 7  4.0  94    0    0 273 -307  2
 1  6 19   0.4  929 287  5.8 7  4.0  95    0    0 273 -308  2
 1  6 20   0.1  929 257  6.8 7  4.0  96    0    0 272 -309  2
 1  6 21   0.3  930 261  5.9 7  4.0  96    0    0 273 -309  2
 1  6 22   0.2  931 258  5.2 8  4.0  95    0    0 279 -308  2
 1  6 23   0.1  931 257  7.1 7  4.0  96    0    0 281 -308  2
 1  6 24   0.0  932 254  6.9 6  3.9  95    0    0 271 -308  2
 1  7  1   0.1  932 245  6.3 7  3.9  94    0    0 272 -307  2
 1  7  2  -0.1  932 249  6.3 8  3.9  94    0    0 282 -307  2
 1  7  3   0.0  932 247  6.4 8  3.9  94    0    0 287 -307  2
 1  7  4   0.0  932 238  7.2 7  3.8  92    0    0 284 -308  2
 1  7  5   0.0  931 246  7.7 7  3.6  88    0    0 280 -308  2
 1  7  6  -0.3  931 249  7.5 7  3.6  87    0    0 282 -307  2
 1  7  7  -0.4  931 244  7.8 6  3.4  86    0    0 276 -307  2
 1  7  8  -0.4  931 236  9.0 6  3.3  83    0    0 270 -307  2
 1  7  9  -0.5  930 236  9.0 7  3.3  82    0   13 277 -307  2
 1  7 10  -0.1  930 244  8.7 7  3.3  82    2   56 284 -309  2
 1  7 11   0.6  929 236  9.4 8  3.3  79    0   53 292 -311  2
 1  7 12   0.0  928 237 10.6 7  3.4  80    0   64 293 -314  2
 1  7 13  -0.3  927 234 11.0 6  3.5  87    0   67 280 -315  2
 1  7 14  -0.1  927 238 10.9 7  3.8  93    0   69 283 -316  2
 1  7 15   0.3  927 247 10.6 7  4.0  95    1   71 293 -317  2
 1  7 16   0.7  926 237 10.3 8  4.1  95    4   46 301 -318  2
 1  7 17   1.1  926 241 11.7 8  4.2  94    0    5 309 -318  2
 1  7 18   2.0  926 239 11.3 8  4.3  92    0    0 311 -318  2
 1  7 19   1.8  926 244 11.0 8  4.3  91    0    0 312 -318  2
 1  7 20   1.7  926 254 10.1 8  4.4  93    0    0 312 -318  2
 1  7 21   1.7  926 267  9.6 8  4.4  94    0    0 311 -318  2
 1  7 22   1.8  927 272  7.3 8  4.4  93    0    0 310 -318  2
 1  7 23   1.8  928 290  8.4 8  4.3  90    0    0 309 -318  2
 1  7 24   1.8  928 277  7.4 8  4.1  87    0    0 307 -318  2
 1  8  1   1.6  928 270  6.6 8  4.0  84    0    0 306 -317  2
 1  8  2   1.5  928 274  6.8 8  3.9  85    0    0 305 -316  2
 1  8  3   1.8  928 267  7.3 8  3.9  83    0    0 304 -314  2
 1  8  4   1.6  929 267  7.3 8  3.9  83    0    0 303 -312  2
 1  8  5   1.4  929 256  6.9 8  3.8  83    0    0 302 -311  2
 1  8  6   1.1  929 253  6.9 8  3.8  84    0    0 300 -310  2
 1  8  7   0.9  928 238  6.8 8  3.9  87    0    0 300 -310  2
 1  8  8   1.2  928 250  7.1 8  3.9  87    0    0 300 -311  2
 1  8  9   0.8  928 247  6.1 8  4.0  90    0   16 300 -311  2
 1  8 10   0.8  929 243  6.7 7  4.1  93    6   68 294 -312  2
