MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   4.8  948 207  5.5 7  5.0  90    0    0 297 -316  2
 1  1  2   3.4  948 206  5.0 7  4.8  93    0    0 306 -316  2
 1  1  3   2.4  948 204  4.5 7  4.6  96    0    0 307 -316  2
 1  1  4   2.5  948 203  4.4 7  4.6  96    0    0 303 -316  2
 1  1  5   2.5  948 202  4.2 7  4.6  95    0    0 305 -316  2
 1  1  6   2.6  948 201  4.0 7  4.6  95    0    0 306 -316  2
 1  1  7   2.8  948 197  3.3 7  4.6  94    0    0 306 -316  2
 1  1  8   2.7  948 204  4.1 7  4.6  93    0    0 305 -316  2
 1  1  9   2.7  948 202  4.1 7  4.7  95    2   11 306 -316  2
 1  1 10   3.1  948 199  3.6 5  4.7  95   51   45 295 -316  2
 1  1 11   4.1  948 193  3.4 3  4.8  92   81   85 273 -316  2
 1  1 12   3.9  948 187  3.0 6  4.9  90   37  115 279 -319  2
 1  1 13   4.1  948 206  3.5 7  4.9  91    0   75 303 -322  2
 1  1 14   3.9  947 192  3.2 7  4.9  90    0   64 308 -324  2
 1  1 15   3.7  946 212  3.5 8  4.7  89    0   57 312 -326  2
 1  1 16   3.0  946 202  4.1 8  4.7  92    0   27 316 -327  2
 1  1 17   3.6  946 225  4.7 8  4.8  94    0    6 315 -326  2
 1  1 18   3.1  945 210  4.8 8  4.8  93    0    0 315 -325  2
 1  1 19   3.9  945 206  4.6 7  4.9  93    0    0 309 -324  2
 1  1 20   3.8  945 204  4.8 7  4.9  92    0    0 303 -325  2
 1  1 21   3.8  945 198  5.8 7  4.9  92    0    0 304 -326  2
 1  1 22   3.6  945 188  5.1 7  5.0  94    0    0 305 -328  2
 1  1 23   4.2  945 197  5.6 7  4.9  92    0    0 307 -329  2
 1  1 24   4.5  944 209  5.9 7  5.0  90    0    0 309 -330  2
 1  2  1   4.7  943 189  5.7 8  5.2  91    0    0 317 -331  2
 1  2  2   4.8  942 209  5.9 8  5.2  90    0    0 324 -332  2
 1  2  3   5.6  942 224  6.2 8  5.3  89    0    0 326 -333  2
 1  2  4   5.3  941 228  6.1 8  5.5  91    0    0 327 -336  2
 1  2  5   6.4  941 234  6.2 8  5.6  90    0    0 328 -339  2
 1  2  6   6.2  942 240  7.3 8  5.6  88    0    0 329 -340  2
 1  2  7   5.3  941 263  9.0 7  5.4  88    0    0 319 -341  2
 1  2  8   4.0  941 250  7.3 7  5.0  88    0    0 308 -341  2
 1  2  9   2.3  942 298  6.2 7  4.6  90    0    2 302 -340  2
 1  2 10   3.2  942 270  7.4 6  4.4  88    1   41 294 -338  2
 1  2 11   2.6  943 277  5.2 6  4.4  88    6   74 288 -334  2
 1  2 12   2.8  944 265  6.6 6  4.4  88    0   58 286 -330  2
 1  2 13   2.6  944 262  6.4 8  4.2  85    0   46 293 -328  2
 1  2 14   2.1  944 294  5.9 8  4.0  84    0   42 300 -326  2
 1  2 15   1.8  945 272  7.4 6  3.9  83    0   46 286 -324  2
 1  2 16   1.5  945 291  7.2 7  3.7  81    0   35 279 -322  2
 1  2 17   1.1  946 280  5.5 7  3.7  83    0    7 280 -318  2
 1  2 18   0.9  946 268  5.5 7  3.7  85    0    0 277 -314  2
 1  2 19   0.5  947 261  5.9 7  3.6  83    0    0 274 -311  2
 1  2 20   0.5  948 264  6.0 7  3.5  84    0    0 272 -308  2
 1  2 21   0.5  949 265  6.0 6  3.5  84    0    0 266 -307  2
 1  2 22   0.7  949 265  5.7 8  3.6  84    0    0 270 -307  2
 1  2 23   0.2  950 248  5.4 7  3.6  86    0    0 274 -306  2
 1  2 24   0.5  951 254  5.3 4  3.6  87    0    0 255 -306  2
 1  3  1   0.1  951 250  4.9 7  3.6  87    0    0 256 -306  2
 1  3  2   0.3  951 250  5.6 8  3.7  90    0    0 274 -306  2
 1  3  3   0.1  952 262  5.7 7  3.7  90    0    0 276 -305  2
 1  3  4   0.3  952 264  5.7 7  3.6  89    0    0 273 -306  2
 1  3  5   0.2  952 258  5.1 8  3.6  87    0    0 280 -307  2
 1  3  6   0.0  953 250  4.6 6  3.6  88    0    0 277 -309  2
 1  3  7   0.1  953 249  6.2 7  3.6  89    0    0 273 -310  2
 1  3  8   0.1  953 256  5.6 8  3.6  88    0    0 285 -312  2
 1  3  9   0.1  954 249  5.6 7  3.5  87    0    3 287 -313  2
 1  3 10   0.4  954 243  5.8 7  3.5  86   14   36 283 -313  2
 1  3 11   0.4  955 251  6.1 7  3.6  86    0   58 284 -314  2
 1  3 12   0.9  955 244  6.3 7  3.6  86    0   77 286 -316  2
 1  3 13   1.3  955 238  5.7 5  3.6  82   71   72 276 -319  2
 1  3 14   1.6  955 241  6.2 6  3.6  81   78   52 272 -320  2
 1  3 15   1.5  955 244  6.1 6  3.6  81   21   61 280 -320  2
 1  3 16   1.4  955 244  5.6 7  3.6  81    0   33 285 -319  2
 1  3 17   1.1  955 242  5.8 7  3.6  82    0    4 292 -318  2
 1  3 18   0.9  955 225  6.3 5  3.6  84    0    0 281 -318  2
 1  3 19   0.7  955 237  6.8 8  3.6  85    0    0 287 -319  2
 1  3 20   1.0  955 234  6.4 8  3.6  85    0    0 306 -320  2
 1  3 21   1.0  956 233  5.8 6  3.6  83    0    0 296 -321  2
 1  3 22   1.1  956 247  5.4 7  3.7  85    0    0 290 -321  2
 1  3 23   1.1  956 239  4.8 7  3.8  87    0    0 296 -321  2
 1  3 24   0.9  956 225  5.3 7  3.8  88    0    0 295 -321  2
