MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1  -1.0 1003 205  4.5 6  3.2  90    0    0 289 -291  1
 1  1  2  -0.7 1003 222  5.3 7  3.3  90    0    0 290 -289  1
 1  1  3  -0.4 1002 235  5.8 8  3.3  89    0    0 288 -287  1
 1  1  4  -0.3 1001 234  5.7 7  3.3  88    0    0 283 -286  1
 1  1  5  -0.2 1001 232  5.8 7  3.3  87    0    0 277 -287  1
 1  1  6   0.1 1000 238  5.3 7  3.3  86    0    0 277 -288  1
 1  1  7   0.1 1000 228  6.7 7  3.3  85    0    0 278 -290  1
 1  1  8   0.4  999 229  7.4 7  3.3  85    0    0 280 -295  1
 1  1  9   0.5  998 226  7.3 7  3.5  87    7    4 282 -301  1
 1  1 10   1.3  998 236  7.3 7  3.6  87   35   19 284 -305  1
 1  1 11   1.3  997 242  7.2 7  3.7  88    3   56 287 -309  1
 1  1 12   1.6  997 245  6.9 8  3.9  91    0   54 293 -312  1
 1  1 13   1.8  997 256  6.9 8  4.0  91    0   49 298 -314  1
 1  1 14   1.7  997 262  6.3 8  4.0  92    0   48 299 -316  1
 1  1 15   1.7  997 261  6.1 7  4.1  93    0   34 294 -316  1
 1  1 16   1.7  997 260  5.7 6  4.0  92    0   10 282 -316  1
 1  1 17   1.4  997 249  5.2 6  3.9  90    0    0 276 -315  1
 1  1 18   0.7  997 262  4.5 5  3.8  91    0    0 269 -313  1
 1  1 19   1.2  998 253  4.8 6  3.7  91    0    0 269 -308  1
 1  1 20   1.2  998 257  4.5 7  3.7  89    0    0 282 -303  1
 1  1 21   1.5  998 250  4.8 7  3.7  86    0    0 287 -299  1
 1  1 22   1.8  998 264  4.7 8  3.6  83    0    0 293 -297  1
 1  1 23   1.5  998 259  4.9 7  3.6  82    0    0 293 -296  1
 1  1 24   1.6  998 272  5.2 8  3.5  81    0    0 291 -297  1
 1  2  1   1.4  998 274  5.0 7  3.4  79    0    0 288 -297  1
 1  2  2   1.2  998 275  4.2 8  3.3  78    0    0 285 -297  1
 1  2  3   1.0  998 265  4.1 7  3.3  78    0    0 283 -297  1
 1  2  4   0.6  998 255  4.1 6  3.2  79    0    0 271 -295  1
 1  2  5   0.5  998 245  4.1 6  3.2  81    0    0 264 -294  1
 1  2  6   0.1  998 246  4.3 7  3.3  85    0    0 268 -293  1
 1  2  7  -0.1  998 249  4.1 7  3.5  91    0    0 272 -292  1
 1  2  8   0.1  999 258  3.9 7  3.6  93    0    0 272 -290  1
 1  2  9   0.4  999 266  4.1 7  3.6  91    0    9 272 -289  1
 1  2 10   0.6  999 270  4.2 7  3.5  89    5   48 271 -290  1
 1  2 11   1.0 1000 278  4.0 7  3.5  87    0   60 272 -293  1
 1  2 12   1.2 1000 267  4.0 7  3.5  84    0   67 272 -295  1
 1  2 13   1.3 1000 269  4.4 7  3.4  81    0   69 272 -298  1
 1  2 14   1.3 1000 270  4.7 7  3.3  79    0   54 274 -301  1
 1  2 15   1.5 1000 281  4.6 8  3.3  78    0   28 281 -302  1
 1  2 16   1.2 1000 275  4.4 8  3.3  78    0   10 285 -302  1
 1  2 17   0.9 1001 272  3.6 7  3.2  78    0    0 280 -301  1
 1  2 18   0.5 1001 260  4.4 7  3.2  79    0    0 274 -302  1
 1  2 19   0.2 1001 254  4.5 8  3.2  81    0    0 278 -303  1
 1  2 20   0.2 1001 251  4.3 8  3.3  84    0    0 282 -305  1
 1  2 21   0.1 1002 245  4.0 8  3.4  87    0    0 281 -306  1
 1  2 22  -0.3 1002 251  4.2 7  3.4  90    0    0 275 -306  1
