MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   1.9 1018 152  1.7 7  4.2  94    0    0 276 -310  1
 1  1  2   0.2 1018 139  1.2 7  3.8  96    0    0 276 -309  1
 1  1  3  -1.1 1018 138  0.7 8  3.5  98    0    0 280 -308  1
 1  1  4  -1.1 1018 169  0.9 8  3.4  99    0    0 285 -307  1
 1  1  5  -1.1 1017 199  1.0 8  3.4  99    0    0 285 -306  1
 1  1  6  -0.9 1017 256  1.1 7  3.5  99    0    0 279 -305  1
 1  1  7  -1.0 1017 250  1.0 8  3.5  99    0    0 279 -304  1
 1  1  8  -1.6 1017  92  0.9 8  3.4 100    0    0 282 -303  1
 1  1  9  -1.3 1017 121  0.7 5  3.4 100    0    0 266 -303  1
 1  1 10  -0.7 1017  36  0.3 6  3.5  99    0   15 256 -304  1
 1  1 11  -0.3 1017  74  1.0 6  3.6  99    0   44 262 -307  1
 1  1 12   0.2 1017  90  1.2 8  3.7  99    8   66 272 -312  1
 1  1 13   1.2 1016 142  1.2 8  3.9  98    4   68 283 -316  1
 1  1 14   1.0 1016  81  1.2 8  4.0  98    4   64 282 -318  1
 1  1 15   1.3 1015  64  1.8 7  3.9  96    0   39 276 -318  1
 1  1 16   1.1 1015  70  0.9 7  3.9  95    0    7 271 -317  1
 1  1 17   0.8 1015  75  1.6 7  3.9  96    0    0 268 -313  1
 1  1 18   0.6 1015  76  1.2 8  3.8  95    0    0 269 -310  1
 1  1 19  -0.1 1015  64  1.4 7  3.7  96    0    0 266 -307  1
 1  1 20  -0.5 1015  50  1.6 7  3.6  97    0    0 261 -307  1
 1  1 21  -0.5 1016  59  1.0 4  3.5  96    0    0 252 -307  1
 1  1 22  -1.2 1015  61  1.3 4  3.4  97    0    0 242 -309  1
 1  1 23  -1.0 1015  42  1.2 3  3.3  95    0    0 238 -310  1
 1  1 24  -1.5 1015  73  1.2 1  3.2  94    0    0 227 -310  1
 1  2  1  -0.9 1015  66  1.4 6  3.3  94    0    0 238 -309  1
 1  2  2  -0.7 1015  54  1.6 6  3.3  94    0    0 257 -310  1
 1  2  3  -1.1 1015  63  1.3 7  3.3  92    0    0 261 -311  1
 1  2  4  -1.4 1015  60  0.7 5  3.1  91    0    0 256 -311  1
 1  2  5  -2.2 1015  58  1.0 5  3.1  93    0    0 246 -310  1
 1  2  6  -2.6 1015  82  0.9 3  3.0  95    0    0 236 -309  1
 1  2  7  -3.1 1014  62  1.2 1  2.9  94    0    0 219 -308  1
 1  2  8  -3.2 1014  34  1.6 1  2.8  94    0    0 209 -309  1
 1  2  9  -3.1 1014  52  1.7 1  2.8  94    0    4 209 -308  1
 1  2 10  -2.2 1014  72  1.9 2  2.9  94   13   42 213 -306  1
 1  2 11  -0.9 1014  60  2.4 2  3.1  91   67   80 220 -308  1
 1  2 12   0.1 1014  74  3.7 2  3.2  87  106  101 223 -311  1
 1  2 13   1.0 1013  85  3.7 1  3.3  83  129  103 221 -314  1
 1  2 14   1.2 1013  76  4.3 0  3.2  79  116   95 212 -316  1
 1  2 15   0.8 1012  79  5.0 2  3.2  79   47   77 215 -316  1
 1  2 16   0.4 1011  86  3.8 4  3.2  80    0   14 231 -315  1
 1  2 17  -0.1 1010  68  4.2 3  3.1  81    0    0 234 -312  1
 1  2 18  -0.7 1009  73  4.3 2  3.1  83    0    0 224 -308  1
 1  2 19  -1.1 1009  67  4.8 3  3.0  84    0    0 222 -307  1
 1  2 20  -0.3 1008  79  4.5 3  2.9  80    0    0 226 -306  1
 1  2 21  -0.3 1008  85  4.1 5  2.8  75    0    0 234 -307  1
 1  2 22  -0.2 1008  89  5.3 8  2.7  73    0    0 255 -307  1
 1  2 23   0.0 1008  94  4.1 8  2.7  71    0    0 269 -306  1
 1  2 24   0.2 1007  81  4.4 6  2.7  70    0    0 263 -305  1
 1  3  1   0.3 1006  97  5.3 7  2.7  69    0    0 261 -306  1
 1  3  2   0.4 1005  93  5.6 8  2.7  68    0    0 273 -307  1
