MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
 1  1  1   4.2  975 198  1.3 8  5.0  94    0    0 328 -329  1
 1  1  2   4.2  975 203  1.3 8  5.1  96    0    0 322 -329  1
 1  1  3   4.0  975 206  1.1 8  5.1  97    0    0 322 -330  1
 1  1  4   4.0  975 210  1.0 8  5.1  97    0    0 329 -331  1
 1  1  5   4.1  975 218  0.7 8  5.2  98    0    0 329 -331  1
 1  1  6   4.2  976 224  0.7 8  5.2  99    0    0 330 -331  1
 1  1  7   4.5  976 247  0.2 7  5.3  99    0    0 323 -331  1
 1  1  8   4.2  976 269  1.0 7  5.2  97    0    0 315 -330  1
 1  1  9   4.2  976 242  0.6 7  5.2  97    0    2 313 -330  1
 1  1 10   4.2  976 236  0.9 8  5.1  96   11   50 319 -329  1
 1  1 11   4.6  976 224  1.4 3  5.0  92   55  101 294 -330  1
 1  1 12   4.6  977 214  2.0 5  4.7  86   68  130 276 -331  1
 1  1 13   5.3  977 262  1.3 4  4.5  80   71  141 281 -333  1
 1  1 14   5.2  976 231  1.2 4  4.4  76   32  110 274 -334  1
 1  1 15   5.2  975 224  1.4 7  4.5  79    0   54 291 -335  1
 1  1 16   4.8  975 204  1.8 8  4.8  84    0   11 314 -335  1
 1  1 17   4.7  974 209  2.7 7  5.0  90    0    0 313 -333  1
 1  1 18   4.9  974 227  3.5 7  5.1  92    0    0 306 -331  1
 1  1 19   4.9  973 225  3.8 7  5.2  92    0    0 307 -330  1
 1  1 20   4.9  972 223  4.1 7  5.1  92    0    0 307 -329  1
 1  1 21   4.8  971 208  4.1 7  5.0  90    0    0 307 -326  1
 1  1 22   4.9  971 205  4.1 7  5.0  89    0    0 308 -326  1
 1  1 23   4.9  970 218  4.4 7  5.0  90    0    0 311 -329  1
 1  1 24   4.6  969 206  4.7 8  5.1  92    0    0 318 -332  1
 1  2  1   5.2  968 216  5.9 8  5.4  96    0    0 326 -335  1
 1  2  2   5.3  967 217  5.4 8  5.7  99    0    0 329 -338  1
 1  2  3   6.3  965 223  5.4 8  6.0 100    0    0 331 -341  1
 1  2  4   6.3  964 247  6.2 7  6.0  97    0    0 326 -343  1
 1  2  5   6.3  964 259  4.1 6  5.5  88    0    0 309 -344  1
 1  2  6   5.4  964 276  4.2 5  4.9  81    0    0 295 -344  1
 1  2  7   4.4  965 280  5.2 4  4.5  80    0    0 279 -342  1
 1  2  8   4.1  966 296  5.1 4  4.3  79    0    0 271 -339  1
 1  2  9   3.4  967 266  4.8 6  4.1  79    0    1 279 -333  1
 1  2 10   2.9  968 268  5.2 7  4.2  83    0   22 291 -329  1
 1  2 11   2.9  969 293  5.2 8  4.0  81    0   54 298 -326  1
 1  2 12   2.8  970 283  4.6 8  3.7  77    0   62 299 -326  1
 1  2 13   2.9  970 280  5.2 7  3.6  74    0   78 292 -328  1
 1  2 14   3.2  971 282  4.9 7  3.5  71   22   97 285 -327  1
 1  2 15   2.9  971 285  4.9 7  3.5  70    9   72 283 -325  1
 1  2 16   2.3  971 269  4.8 7  3.5  74    4   35 280 -322  1
 1  2 17   1.6  972 259  3.4 7  3.6  79    0    2 277 -320  1
 1  2 18   1.0  973 276  3.2 7  3.7  85    0    0 273 -319  1
 1  2 19   1.0  973 267  2.9 6  3.7  87    0    0 268 -318  1
 1  2 20   1.2  974 276  3.5 6  3.6  85    0    0 264 -316  1
 1  2 21   1.4  975 273  3.7 8  3.6  83    0    0 273 -316  1
 1  2 22   1.5  975 248  3.4 8  3.6  82    0    0 283 -317  1
 1  2 23   1.5  975 254  3.1 8  3.6  81    0    0 283 -317  1
 1  2 24   1.5  976 259  3.8 7  3.6  82    0    0 281 -317  1
 1  3  1   1.5  976 260  3.2 8  3.6  82    0    0 282 -318  1
 1  3  2   1.6  976 240  3.6 7  3.6  82    0    0 283 -318  1
 1  3  3   1.8  976 262  3.8 8  3.6  82    0    0 284 -318  1
 1  3  4   2.1  976 241  3.5 8  3.7  81    0    0 292 -318  1
 1  3  5   2.2  977 244  2.9 6  3.7  80    0    0 283 -318  1
 1  3  6   2.0  977 268  3.1 8  3.7  81    0    0 284 -318  1
 1  3  7   2.1  977 270  4.3 7  3.8  84    0    0 291 -318  1
 1  3  8   2.1  977 270  3.9 7  3.8  84    0    0 286 -318  1
 1  3  9   2.1  978 268  3.4 8  3.8  83    0    7 293 -318  1
 1  3 10   2.8  979 261  3.3 8  3.8  80    0   21 302 -319  1
 1  3 11   3.1  979 246  3.5 8  3.8  79    0   28 304 -319  1
 1  3 12   3.3  979 241  4.1 8  4.0  81    0   31 307 -319  1
 1  3 13   3.1  980 239  3.5 8  4.1  83    0   32 308 -320  1
 1  3 14   3.6  980 257  4.2 8  4.2  83    0   26 308 -321  1
 1  3 15   3.5  980 250  3.7 8  4.2  83    0   19 308 -322  1
 1  3 16   3.5  980 249  3.7 8  4.2  84    0    7 308 -322  1
 1  3 17   2.6  980 239  3.5 8  4.3  88    0    1 309 -323  1
 1  3 18   2.6  980 242  3.6 8  4.3  92    0    0 309 -324  1
 1  3 19   2.9  980 235  3.6 8  4.4  92    0    0 311 -325  1
 1  3 20   2.8  980 247  3.2 8  4.5  93    0    0 313 -327  1
 1  3 21   3.2  981 249  3.3 8  4.6  94    0    0 314 -327  1
 1  3 22   3.4  981 253  3.7 8  4.7  94    0    0 317 -328  1
 1  3 23   3.6  980 247  3.7 8  4.7  92    0    0 319 -330  1
 1  3 24   3.7  980 227  3.6 8  4.7  92    0    0 319 -331  1
 1  4  1   3.9  980 250  4.7 8  4.6  90    0    0 319 -332  1
 1  4  2   3.7  979 250  3.6 8  4.6  90    0    0 319 -332  1
 1  4  3   3.9  979 250  4.1 7  4.7  91    0    0 313 -331  1
 1  4  4   4.3  979 253  4.1 7  4.7  89    0    0 307 -330  1
 1  4  5   4.7  978 250  3.8 8  4.7  86    0    0 312 -330  1
 1  4  6   4.8  978 248  3.3 7  4.6  84    0    0 312 -329  1
 1  4  7   4.7  978 247  3.6 8  4.7  85    0    0 312 -328  1
 1  4  8   4.5  977 248  4.2 8  4.8  88    0    0 316 -328  1
 1  4  9   4.8  977 249  4.0 7  4.8  88    2    9 310 -327  1
 1  4 10   5.1  978 243  4.9 7  4.8  85   38   54 305 -326  1
 1  4 11   5.3  978 242  5.6 6  4.6  81    7   80 299 -326  1
 1  4 12   4.9  978 252  5.1 6  4.5  79   19  111 293 -327  1
 1  4 13   5.4  978 252  5.2 8  4.4  77    0   77 298 -327  1
 1  4 14   5.2  978 257  5.3 7  4.3  75    6   91 300 -327  1
 1  4 15   5.3  977 249  5.3 5  4.2  73   23   89 284 -326  1
 1  4 16   4.5  977 237  5.2 5  4.1  73   13   46 275 -325  1
 1  4 17   3.5  976 226  4.6 5  4.0  76    0    5 272 -323  1
 1  4 18   2.8  977 220  3.1 5  3.9  80    0    0 270 -323  1
 1  4 19   2.6  977 227  3.3 6  3.9  83    0    0 273 -323  1
 1  4 20   2.2  977 194  3.3 6  3.9  84    0    0 276 -323  1
 1  4 21   2.3  977 219  3.8 8  3.9  84    0    0 284 -321  1
 1  4 22   2.6  976 222  3.6 7  3.8  81    0    0 292 -320  1
 1  4 23   2.5  976 224  3.8 7  3.8  80    0    0 291 -320  1
 1  4 24   2.5  976 211  4.8 7  3.8  80    0    0 293 -320  1
 1  5  1   2.2  976 237  4.0 8  3.8  82    0    0 299 -320  1
 1  5  2   2.4  976 227  3.9 7  3.9  84    0    0 300 -320  1
 1  5  3   1.9  976 225  3.1 8  3.9  85    0    0 302 -320  1
 1  5  4   1.7  976 195  2.3 8  3.9  88    0    0 308 -320  1
 1  5  5   1.7  977 188  2.2 7  4.0  90    0    0 303 -320  1
 1  5  6   2.0  977 173  2.4 8  4.1  91    0    0 305 -320  1
 1  5  7   2.1  977 214  2.6 8  4.1  91    0    0 312 -321  1
 1  5  8   1.9  977 215  3.0 8  4.1  91    0    0 311 -322  1
 1  5  9   2.0  978 215  3.2 8  4.1  91    0    3 308 -323  1
 1  5 10   2.1  978 212  3.5 8  4.2  91    0   22 308 -324  1
 1  5 11   2.0  979 204  3.5 8  4.2  92    0   26 306 -325  1
